,end,name,source,start,strand,keep,tier,duplicates
52,88204,candidate_15,Miotto13,88167,1,1,2,0
53,89466,candidate_912,Miotto13,89426,0,1,2,0
54,97143,candidate_913,Miotto13,97097,0,1,2,0
55,97324,candidate_914,Miotto13,97268,0,1,2,0
56,97818,candidate_915,Miotto13,97771,0,1,2,0
57,99756,candidate_916,Miotto13,99719,0,1,2,0
58,102773,ncRNA53,Namouchi16,102690,0,1,2,0
59,110205,candidate_917,Miotto13,110154,0,1,2,0
60,110300,candidate_918,Miotto13,110254,0,1,2,0
61,110563,candidate_919,Miotto13,110447,0,1,2,0
62,133878,candidate_1726,Miotto13,133844,0,1,2,0
63,133880,candidate_667,Miotto13,133846,1,1,2,0
64,137696,candidate_920,Miotto13,137589,0,1,2,0
65,139790,candidate_1727,Miotto13,139757,0,1,2,0
66,139792,candidate_668,Miotto13,139759,1,1,2,0
67,141056,candidate_1673,Miotto13,141023,0,1,2,0
68,149495,candidate_921,Miotto13,149463,0,1,2,0
69,151140,candidate_16,Miotto13,151110,1,1,2,0
70,151364,candidate_922,Miotto13,151321,0,1,2,0
71,151431,candidate_923,Miotto13,151399,0,1,2,0
72,154229,candidate_1728,Miotto13,154131,0,1,2,0
73,154231,candidate_669,Miotto13,154133,1,1,2,0
74,155851,candidate_924,Miotto13,155800,0,1,2,0
75,156568,candidate_925,Miotto13,156522,0,1,2,0
76,157669,candidate_1729,Miotto13,157618,0,1,2,0
77,157671,candidate_670,Miotto13,157620,1,1,2,0
78,167481,candidate_17,Miotto13,167440,1,1,2,0
79,167658,candidate_18,Miotto13,167558,1,1,2,0
80,170736,candidate_926,Miotto13,170705,0,1,2,0
81,183290,candidate_1730,Miotto13,183234,0,1,2,0
82,183292,candidate_671,Miotto13,183236,1,1,2,0
83,185087,candidate_927,Miotto13,185055,0,1,2,0
84,196643,candidate_928,Miotto13,196557,0,1,2,0
85,196708,candidate_1674,Miotto13,196663,0,1,2,0
86,196776,candidate_929,Miotto13,196709,0,1,2,0
87,196773,candidate_19,Miotto13,196712,1,1,2,0
88,196808,candidate_1675,Miotto13,196777,0,1,2,0
89,196944,candidate_930,Miotto13,196827,0,1,2,0
90,197017,candidate_931,Miotto13,196985,0,1,2,0
91,199508,candidate_932,Miotto13,199402,0,1,2,0
92,201008,candidate_933,Miotto13,200964,0,1,2,0
93,202648,candidate_934,Miotto13,202609,0,1,2,0
94,202825,candidate_935,Miotto13,202732,0,1,2,0
95,205351,candidate_936,Miotto13,205275,0,1,2,0
96,206493,candidate_937,Miotto13,206462,0,1,2,0
97,208664,candidate_938,Miotto13,208576,0,1,2,0
98,210123,candidate_20,Miotto13,210073,1,1,2,0
99,211485,candidate_21,Miotto13,211325,1,1,2,0
100,214483,candidate_939,Miotto13,214453,0,1,2,0
101,218065,candidate_940,Miotto13,218035,0,1,2,0
102,218292,candidate_941,Miotto13,218110,0,1,2,0
103,218413,candidate_942,Miotto13,218355,0,1,2,0
104,218409,candidate_22,Miotto13,218357,1,1,2,0
105,218610,candidate_943,Miotto13,218503,0,1,2,0
106,219601,candidate_944,Miotto13,219424,0,1,2,0
107,219486,candidate_23,Miotto13,219429,1,1,2,0
108,219782,candidate_945,Miotto13,219653,0,1,2,0
109,219996,candidate_946,Miotto13,219830,0,1,2,0
110,220058,candidate_24,Miotto13,219917,1,1,2,0
111,222392,ncRNA56,Namouchi16,222299,0,1,2,0
112,223494,candidate_947,Miotto13,223462,0,1,2,0
113,223653,candidate_948,Miotto13,223578,0,1,2,0
114,234493,candidate_949,Miotto13,234459,0,1,2,0
115,235170,candidate_25,Miotto13,235121,1,1,2,0
116,236705,candidate_950,Miotto13,236632,0,1,2,0
117,247057,candidate_26,Miotto13,246987,1,1,2,0
118,247507,ncRNA57,Namouchi16,247284,1,1,2,0
119,247384,candidate_951,Miotto13,247318,0,1,2,0
120,248966,candidate_1731,Miotto13,248917,0,1,2,0
121,248968,candidate_672,Miotto13,248919,1,1,2,0
122,262878,candidate_952,Miotto13,262837,0,1,2,0
123,266769,candidate_28,Miotto13,266736,1,1,2,0
124,267809,candidate_1732,Miotto13,267765,0,1,2,0
125,267811,candidate_673,Miotto13,267767,1,1,2,0
126,272949,candidate_1733,Miotto13,272862,0,1,2,0
127,272951,candidate_674,Miotto13,272864,1,1,2,0
128,274492,ncRNA58,Namouchi16,274396,1,1,2,0
129,285303,ncRNA59,Namouchi16,285209,1,1,2,0
130,289002,candidate_953,Miotto13,288963,0,1,2,0
131,292098,candidate_954,Miotto13,292064,0,1,2,0
132,292133,candidate_675,Miotto13,292080,1,1,2,0
133,292131,candidate_1734,Miotto13,292099,0,1,2,0
134,292301,candidate_955,Miotto13,292269,0,1,2,0
135,292390,candidate_956,Miotto13,292336,0,1,2,0
136,293659,candidate_1676,Miotto13,293603,0,1,2,0
137,293662,candidate_29,Miotto13,293604,1,0,2,1
138,293705,F6,Tuberculist,293604,1,1,1,1
139,293708,candidate_1735,Miotto13,293666,0,1,2,0
140,293710,candidate_676,Miotto13,293668,1,0,2,1
141,295724,candidate_1736,Miotto13,295694,0,1,2,0
142,295726,candidate_677,Miotto13,295696,1,1,2,0
143,299099,candidate_30,Miotto13,298918,1,1,2,0
144,299201,candidate_31,Miotto13,299164,1,1,2,0
145,299293,candidate_32,Miotto13,299263,1,1,2,0
146,300094,candidate_33,Miotto13,299960,1,1,2,0
147,301613,candidate_34,Miotto13,301424,1,1,2,0
148,302109,candidate_957,Miotto13,302034,0,1,2,0
149,302683,candidate_958,Miotto13,302652,0,1,2,0
150,308037,candidate_35,Miotto13,307966,1,1,2,0
151,308816,candidate_36,Miotto13,308772,1,1,2,0
152,309021,candidate_37,Miotto13,308938,1,1,2,0
153,309930,candidate_959,Miotto13,309893,0,1,2,0
154,321829,Mpr13,DiChiara10,321523,1,1,1,0
155,323104,candidate_38,Miotto13,322998,1,1,2,0
156,323282,candidate_39,Miotto13,323215,1,1,2,0
157,326149,candidate_960,Miotto13,326118,0,1,2,0
158,329161,candidate_40,Miotto13,329127,1,1,2,0
159,330375,candidate_1737,Miotto13,330345,0,1,2,0
160,330377,candidate_678,Miotto13,330347,1,1,2,0
161,330531,candidate_961,Miotto13,330428,0,1,2,0
162,331696,candidate_41,Miotto13,331647,1,1,2,0
163,331690,candidate_962,Miotto13,331658,0,1,2,0
164,332401,candidate_963,Miotto13,332363,0,1,2,0
165,332835,ncRNA17,Namouchi16,332785,1,1,2,0
166,333232,candidate_964,Miotto13,333170,0,1,2,0
167,333417,candidate_965,Miotto13,333304,0,1,2,0
168,333418,candidate_42,Miotto13,333375,1,1,2,0
169,340182,candidate_966,Miotto13,340105,0,1,2,0
170,342006,ncRNA61,Namouchi16,341853,0,1,2,0
171,342078,candidate_43,Miotto13,341947,1,1,2,0
172,342259,candidate_968,Miotto13,342222,0,1,2,0
173,345764,candidate_969,Miotto13,345731,0,1,2,0
174,345940,ncRNA62,Namouchi16,345846,0,1,2,0
175,347481,candidate_971,Miotto13,347408,0,1,2,0
176,348165,candidate_972,Miotto13,348129,0,1,2,0
177,348483,candidate_973,Miotto13,348400,0,1,2,0
178,350645,candidate_974,Miotto13,350509,0,1,2,0
179,352919,candidate_975,Miotto13,352874,0,1,2,0
180,353066,candidate_976,Miotto13,353000,0,1,2,0
181,353068,candidate_44,Miotto13,353036,1,1,2,0
182,357662,candidate_45,Miotto13,357611,1,1,2,0
183,363373,candidate_977,Miotto13,363331,0,1,2,0
184,373150,candidate_46,Miotto13,373109,1,1,2,0
185,377410,candidate_978,Miotto13,377362,0,1,2,0
186,377852,candidate_979,Miotto13,377793,0,1,2,0
187,382510,candidate_980,Miotto13,382467,0,1,2,0
188,382593,candidate_981,Miotto13,382546,0,1,2,0
189,383028,candidate_47,Miotto13,382992,1,1,2,0
190,396279,ncRNA63,Namouchi16,396226,0,1,2,0
191,402534,candidate_48,Miotto13,402504,1,1,2,0
192,410525,ncRNA64,Namouchi16,410447,0,1,2,0
193,410904,candidate_982,Miotto13,410873,0,1,2,0
194,418895,candidate_983,Miotto13,418831,0,1,2,0
195,419750,candidate_984,Miotto13,419704,0,1,2,0
196,419835,candidate_49,Miotto13,419713,1,1,2,0
197,419827,candidate_985,Miotto13,419793,0,1,2,0
198,420931,candidate_986,Miotto13,420887,0,1,2,0
199,421404,candidate_987,Miotto13,421317,0,1,2,0
200,421840,candidate_988,Miotto13,421805,0,1,2,0
201,436834,candidate_1738,Miotto13,436803,0,1,2,0
202,436836,candidate_679,Miotto13,436805,1,1,2,0
203,442322,candidate_50,Miotto13,442272,1,1,2,0
204,456329,ncRNA66,Namouchi16,456250,1,1,2,0
205,458976,candidate_51,Miotto13,458945,1,1,2,0
206,459446,candidate_1677,Miotto13,459407,0,1,2,0
207,462038,candidate_989,Miotto13,462002,0,1,2,0
208,462085,candidate_680,Miotto13,462029,1,1,2,0
209,462071,candidate_1678,Miotto13,462039,0,1,2,0
210,476418,candidate_990,Miotto13,476380,0,1,2,0
211,482496,candidate_52,Miotto13,482459,1,1,2,0
212,483308,candidate_53,Miotto13,483277,1,1,2,0
213,491763,candidate_991,Miotto13,491728,0,1,2,0
214,498455,candidate_54,Miotto13,498401,1,1,1,0
215,498580,candidate_55,Miotto13,498530,1,1,2,0
216,498873,candidate_56,Miotto13,498842,1,1,2,0
217,499663,candidate_992,Miotto13,499630,0,1,2,0
218,501140,candidate_1739,Miotto13,501054,0,1,2,0
219,501142,candidate_681,Miotto13,501056,1,1,2,0
220,510321,candidate_1740,Miotto13,510229,0,1,2,0
221,510323,candidate_682,Miotto13,510231,1,1,2,0
222,510534,candidate_57,Miotto13,510499,1,1,2,0
223,511802,candidate_58,Miotto13,511762,1,1,2,0
224,513200,candidate_59,Miotto13,513150,1,1,2,0
225,515917,candidate_993,Miotto13,515854,0,1,2,0
226,515929,candidate_60,Miotto13,515859,1,1,2,0
227,522184,candidate_994,Miotto13,522143,0,1,2,0
228,528465,candidate_1741,Miotto13,528388,0,1,2,0
229,528425,candidate_683,Miotto13,528390,1,1,2,0
230,528462,candidate_604,Miotto13,528426,1,1,2,0
231,528541,candidate_605,Miotto13,528508,1,1,2,0
232,528606,candidate_1742,Miotto13,528508,0,1,2,0
233,528607,candidate_606,Miotto13,528567,1,1,2,0
234,530346,candidate_61,Miotto13,530307,1,1,2,0
235,530563,candidate_62,Miotto13,530514,1,1,2,0
236,532307,ncRNA1,Namouchi16,532214,0,1,2,0
237,540363,candidate_63,Miotto13,540234,1,1,2,0
238,541278,candidate_64,Miotto13,541225,1,1,2,0
239,541384,candidate_65,Miotto13,541348,1,1,2,0
240,541817,candidate_66,Miotto13,541778,1,1,2,0
241,545820,ncRNA67,Namouchi16,545749,1,1,2,0
242,549648,candidate_1743,Miotto13,549616,0,1,2,0
243,549650,candidate_684,Miotto13,549618,1,1,2,0
244,551853,candidate_995,Miotto13,551732,0,1,2,0
245,552008,candidate_996,Miotto13,551903,0,1,2,0
246,552164,candidate_997,Miotto13,552039,0,1,2,0
247,552276,candidate_998,Miotto13,552199,0,1,2,0
248,553300,candidate_999,Miotto13,553260,0,1,2,0
249,553523,candidate_1000,Miotto13,553379,0,1,2,0
250,554437,candidate_68,Miotto13,554348,1,1,2,0
251,554591,candidate_69,Miotto13,554503,1,1,2,0
252,556627,candidate_1001,Miotto13,556570,0,1,2,0
253,557331,candidate_1744,Miotto13,557298,0,1,2,0
254,557333,candidate_685,Miotto13,557300,1,1,2,0
255,557446,candidate_1745,Miotto13,557416,0,1,2,0
256,557448,candidate_686,Miotto13,557418,1,1,2,0
257,559650,candidate_1002,Miotto13,559617,0,1,2,0
258,559865,candidate_1679,Miotto13,559825,0,1,2,0
259,559870,candidate_607,Miotto13,559826,1,1,2,0
260,565729,candidate_1746,Miotto13,565684,0,1,2,0
261,565731,candidate_687,Miotto13,565686,1,1,2,0
262,568399,candidate_70,Miotto13,568353,1,1,2,0
263,572654,candidate_1003,Miotto13,572607,0,1,2,0
264,572737,candidate_1004,Miotto13,572685,0,1,2,0
265,573920,candidate_1747,Miotto13,573881,0,1,2,0
266,573922,candidate_688,Miotto13,573883,1,1,2,0
267,574013,candidate_1005,Miotto13,573973,0,1,2,0
268,575069,mcr19,Tuberculist,575033,1,1,1,0
269,579503,candidate_1006,Miotto13,579471,0,1,2,0
270,580568,candidate_1007,Miotto13,580526,0,1,2,0
271,580646,candidate_1748,Miotto13,580584,0,1,2,0
272,580648,candidate_689,Miotto13,580586,1,1,2,0
273,580723,candidate_1749,Miotto13,580654,0,1,2,0
274,580725,candidate_690,Miotto13,580656,1,1,2,0
275,580799,candidate_1750,Miotto13,580731,0,1,2,0
276,580801,candidate_691,Miotto13,580733,1,1,2,0
277,587733,candidate_1008,Miotto13,587585,0,1,2,0
278,588102,candidate_1009,Miotto13,588072,0,1,2,0
279,590418,ncRNA68,Namouchi16,590350,0,1,2,0
280,591109,candidate_1751,Miotto13,590978,0,1,2,0
281,591069,candidate_692,Miotto13,590980,1,1,2,0
282,591110,candidate_608,Miotto13,591070,1,1,2,0
283,592658,candidate_1010,Miotto13,592613,0,1,2,0
284,593126,candidate_1011,Miotto13,592989,0,1,2,0
285,595056,candidate_71,Miotto13,595018,1,1,2,0
286,595387,candidate_1752,Miotto13,595345,0,1,2,0
287,595389,candidate_693,Miotto13,595347,1,1,2,0
288,595445,candidate_1753,Miotto13,595399,0,1,2,0
289,595447,candidate_694,Miotto13,595401,1,1,2,0
290,596694,candidate_72,Miotto13,596658,1,1,2,0
291,601330,ncRNA69,Namouchi16,601260,0,1,2,0
292,606059,Mcr19,DiChiara10,604743,1,1,1,0
293,610207,candidate_1013,Miotto13,610175,0,1,2,0
294,610955,candidate_1014,Miotto13,610868,0,1,2,0
295,610954,candidate_73,Miotto13,610916,1,1,2,0
296,611074,candidate_74,Miotto13,611034,1,1,2,0
297,622028,candidate_1015,Miotto13,621921,0,1,2,0
298,622295,candidate_1016,Miotto13,622097,0,1,2,0
299,622299,candidate_75,Miotto13,622157,1,1,2,0
300,629975,candidate_76,Miotto13,629877,1,1,2,0
301,629996,candidate_1754,Miotto13,629962,0,1,2,0
302,631856,candidate_1017,Miotto13,631730,0,1,2,0
303,631940,candidate_1018,Miotto13,631900,0,1,2,0
304,636883,candidate_77,Miotto13,636830,1,1,2,0
305,658965,candidate_1019,Miotto13,658913,0,1,2,0
306,665110,candidate_78,Miotto13,665078,1,1,2,0
307,665795,candidate_1020,Miotto13,665588,0,1,2,0
308,665695,candidate_79,Miotto13,665611,1,1,2,0
309,665790,candidate_80,Miotto13,665759,1,1,2,0
310,668453,ncRNA2,Namouchi16,668394,0,1,2,0
311,670965,candidate_1021,Miotto13,670927,0,1,2,0
312,676032,candidate_1022,Miotto13,675996,0,1,2,0
313,676036,candidate_81,Miotto13,676000,1,1,2,0
314,678785,candidate_82,Miotto13,678621,1,1,2,0
315,679004,candidate_83,Miotto13,678846,1,1,2,0
316,686446,candidate_1023,Miotto13,686414,0,1,2,0
317,704246,candidate_84,Miotto13,704187,1,0,2,1
318,704247,arnvig02,Arnvig14,704187,1,1,1,1
319,704245,candidate_1024,Miotto13,704212,0,1,2,0
320,706243,candidate_85,Miotto13,706101,1,1,2,0
321,728556,candidate_1025,Miotto13,728522,0,1,2,0
322,728680,candidate_86,Miotto13,728649,1,1,2,0
323,731191,candidate_1026,Miotto13,731147,0,1,2,0
324,731377,candidate_1027,Miotto13,731280,0,1,2,0
325,731468,candidate_1755,Miotto13,731413,0,1,2,0
326,731470,candidate_695,Miotto13,731415,1,1,2,0
327,731749,candidate_1028,Miotto13,731588,0,1,2,0
328,731712,candidate_87,Miotto13,731676,1,1,2,0
329,732787,candidate_1029,Miotto13,732392,0,1,2,0
330,733398,candidate_1756,Miotto13,733347,0,1,2,0
331,733394,candidate_609,Miotto13,733363,1,1,2,0
332,733450,candidate_88,Miotto13,733395,1,1,2,0
333,733557,candidate_1030,Miotto13,733524,0,1,2,0
334,733672,candidate_610,Miotto13,733631,1,1,2,0
335,734273,candidate_1031,Miotto13,734197,0,1,2,0
336,734254,candidate_89,Miotto13,734222,1,1,2,0
337,734549,candidate_1032,Miotto13,734379,0,1,2,0
338,735500,candidate_1757,Miotto13,735458,0,1,2,0
339,735502,candidate_696,Miotto13,735460,1,1,2,0
340,736279,candidate_611,Miotto13,736230,1,1,2,0
341,736296,candidate_1680,Miotto13,736246,0,1,2,0
342,737012,candidate_90,Miotto13,736978,1,1,2,0
343,737171,candidate_91,Miotto13,737120,1,1,2,0
344,737237,candidate_1033,Miotto13,737203,0,1,2,0
345,739227,candidate_1034,Miotto13,739186,0,1,2,0
346,739822,candidate_92,Miotto13,739786,1,1,2,0
347,740134,candidate_93,Miotto13,740081,1,1,2,0
348,740226,candidate_94,Miotto13,740191,1,1,2,0
349,748151,candidate_1758,Miotto13,748056,0,1,2,0
350,748153,candidate_697,Miotto13,748058,1,1,2,0
351,748203,candidate_1035,Miotto13,748168,0,1,2,0
352,748203,candidate_95,Miotto13,748168,1,1,2,0
353,748829,candidate_1036,Miotto13,748797,0,1,2,0
354,755306,candidate_1759,Miotto13,755265,0,1,2,0
355,755308,candidate_698,Miotto13,755267,1,1,2,0
356,758615,candidate_1037,Miotto13,758524,0,1,2,0
357,759587,candidate_1760,Miotto13,759551,0,1,2,0
358,759593,candidate_699,Miotto13,759553,1,1,2,0
359,759627,candidate_1681,Miotto13,759588,0,1,2,0
360,759659,candidate_96,Miotto13,759594,1,1,2,0
361,759705,candidate_1682,Miotto13,759630,0,1,2,0
362,759742,candidate_612,Miotto13,759660,1,1,2,0
363,759807,candidate_97,Miotto13,759764,1,1,2,0
364,760260,candidate_1038,Miotto13,760159,0,1,2,0
365,767371,candidate_1039,Miotto13,767311,0,1,2,0
366,767382,candidate_98,Miotto13,767320,1,1,2,0
367,771559,candidate_1040,Miotto13,771525,0,1,2,0
368,779685,Mpr20,DiChiara10,779354,1,1,2,0
369,781392,candidate_1761,Miotto13,781333,0,1,2,0
370,781375,candidate_700,Miotto13,781335,1,1,2,0
371,781424,candidate_613,Miotto13,781376,1,1,2,0
372,781459,candidate_1041,Miotto13,781427,0,1,2,0
373,781465,candidate_99,Miotto13,781428,1,1,2,0
374,781560,candidate_100,Miotto13,781517,1,1,2,0
375,782485,candidate_101,Miotto13,782439,1,1,2,0
376,782605,candidate_1042,Miotto13,782459,0,1,2,0
377,784764,candidate_1043,Miotto13,784454,0,1,2,0
378,784763,candidate_102,Miotto13,784631,1,1,2,0
379,784816,candidate_614,Miotto13,784764,1,1,2,0
380,784816,candidate_1762,Miotto13,784765,0,1,2,0
381,786069,candidate_103,Miotto13,786036,1,1,2,0
382,786164,arnvig04,Arnvig14,786090,0,1,1,0
383,787075,candidate_1763,Miotto13,787044,0,1,2,0
384,787077,candidate_701,Miotto13,787046,1,1,2,0
385,791780,candidate_104,Miotto13,791746,1,1,2,0
386,791826,candidate_1764,Miotto13,791789,0,1,2,0
387,791828,candidate_702,Miotto13,791791,1,1,2,0
388,793889,candidate_1044,Miotto13,793856,0,1,2,0
389,795517,candidate_1765,Miotto13,795471,0,1,2,0
390,795518,candidate_703,Miotto13,795472,1,1,2,0
391,800384,candidate_1766,Miotto13,800187,0,1,2,0
392,800341,candidate_704,Miotto13,800189,1,1,2,0
393,800377,candidate_615,Miotto13,800342,1,1,2,0
394,800726,candidate_1045,Miotto13,800695,0,1,2,0
395,800866,candidate_1046,Miotto13,800777,0,1,2,0
396,802181,candidate_1047,Miotto13,802107,0,1,2,0
397,802319,candidate_1048,Miotto13,802237,0,1,2,0
398,802471,candidate_1767,Miotto13,802436,0,1,2,0
399,802473,candidate_705,Miotto13,802438,1,1,2,0
400,802568,candidate_1049,Miotto13,802488,0,1,2,0
401,802528,candidate_105,Miotto13,802498,1,1,2,0
402,802807,candidate_1050,Miotto13,802703,0,1,2,0
403,803414,candidate_1051,Miotto13,803377,0,1,2,0
404,803706,candidate_1052,Miotto13,803460,0,1,2,0
405,804354,candidate_1053,Miotto13,804227,0,1,2,0
406,805629,candidate_1054,Miotto13,805396,0,1,2,0
407,806218,candidate_1055,Miotto13,806143,0,1,2,0
408,806218,candidate_106,Miotto13,806185,1,1,2,0
409,811251,candidate_1768,Miotto13,811205,0,1,2,0
410,811253,candidate_706,Miotto13,811207,1,1,2,0
411,812965,candidate_1769,Miotto13,812897,0,1,2,0
412,812967,candidate_707,Miotto13,812899,1,1,2,0
413,814926,candidate_1056,Miotto13,814755,0,1,2,0
414,816467,ncRNA70,Namouchi16,816373,0,1,2,0
415,818508,Mpr21,DiChiara10,818355,1,1,2,0
416,819021,candidate_107,Miotto13,818987,1,1,2,0
417,824760,candidate_1770,Miotto13,824692,0,1,2,0
418,824762,candidate_708,Miotto13,824694,1,1,2,0
419,826492,candidate_1057,Miotto13,826462,0,1,2,0
420,842313,ncRNA4,Namouchi16,842220,0,1,2,0
421,848164,candidate_108,Miotto13,848128,1,1,2,0
422,849057,candidate_109,Miotto13,849017,1,1,2,0
423,850592,candidate_1683,Miotto13,850554,0,1,2,0
424,850642,candidate_1058,Miotto13,850611,0,1,2,0
425,850728,candidate_110,Miotto13,850682,1,1,2,0
426,850852,candidate_111,Miotto13,850820,1,1,2,0
427,851608,candidate_112,Miotto13,851548,1,1,2,0
428,851739,ncRNA169,Namouchi16,851634,0,1,2,0
429,852103,candidate_1060,Miotto13,852061,0,1,2,0
430,852555,candidate_1061,Miotto13,852521,0,1,2,0
431,852669,ncRNA5,Namouchi16,852615,0,1,2,0
432,854422,candidate_113,Miotto13,854390,1,1,2,0
433,855473,candidate_114,Miotto13,855429,1,1,2,0
434,856824,candidate_115,Miotto13,856788,1,1,2,0
435,860910,candidate_1063,Miotto13,860867,0,1,2,0
436,863193,candidate_1771,Miotto13,863161,0,1,2,0
437,863195,candidate_709,Miotto13,863163,1,1,2,0
438,872104,candidate_1064,Miotto13,872009,0,1,2,0
439,874081,candidate_1065,Miotto13,873982,0,1,2,0
440,874625,candidate_1066,Miotto13,874587,0,1,2,0
441,874749,candidate_1067,Miotto13,874709,0,1,2,0
442,880409,candidate_1068,Miotto13,880366,0,1,2,0
443,882367,candidate_1069,Miotto13,882283,0,1,2,0
444,885956,candidate_116,Miotto13,885906,1,1,2,0
445,891840,candidate_117,Miotto13,891799,1,1,2,0
446,898828,candidate_118,Miotto13,898791,1,1,2,0
447,898899,candidate_1070,Miotto13,898831,0,1,2,0
448,899624,candidate_1071,Miotto13,899569,0,1,2,0
449,904157,candidate_1072,Miotto13,904079,0,1,2,0
450,904881,candidate_1073,Miotto13,904787,0,1,2,0
451,905185,candidate_710,Miotto13,905089,1,1,2,0
452,905163,candidate_1074,Miotto13,905114,0,1,2,0
453,908063,candidate_1772,Miotto13,908019,0,1,2,0
454,908065,candidate_711,Miotto13,908020,1,1,2,0
455,909583,candidate_1075,Miotto13,909367,0,1,2,0
456,909585,candidate_119,Miotto13,909369,1,1,2,0
457,912929,candidate_1076,Miotto13,912891,0,1,2,0
458,913705,candidate_120,Miotto13,913665,1,1,2,0
459,918458,ASdes,Tuberculist,918264,1,1,1,1
460,918360,candidate_121,Miotto13,918327,1,0,2,1
461,918817,candidate_1773,Miotto13,918754,0,1,2,0
462,918819,candidate_712,Miotto13,918756,1,1,2,0
463,919617,candidate_1077,Miotto13,919570,0,1,2,0
464,919619,candidate_122,Miotto13,919575,1,1,2,0
465,923424,candidate_123,Miotto13,923337,1,1,2,0
466,923997,candidate_1774,Miotto13,923931,0,1,2,0
467,923998,candidate_713,Miotto13,923933,1,1,2,0
468,924034,candidate_1078,Miotto13,923999,0,1,2,0
469,935656,Mpr3,DiChiara10,935509,1,1,2,0
470,936771,ncRNA6,Namouchi16,936717,1,1,2,0
471,937899,candidate_1079,Miotto13,937859,0,1,2,0
472,938239,candidate_1080,Miotto13,937956,0,1,1,1
473,938084,candidate_124,Miotto13,937959,1,1,2,0
474,938239,ncRNA171,Namouchi16,937972,0,0,2,1
475,939939,ncRNA72,Namouchi16,939875,0,1,2,0
476,942998,candidate_125,Miotto13,942932,1,1,2,0
477,944493,candidate_1081,Miotto13,944451,0,1,2,0
478,955004,candidate_1775,Miotto13,954966,0,1,2,0
479,955006,candidate_714,Miotto13,954968,1,1,2,0
480,958506,candidate_1684,Miotto13,958469,0,1,2,0
481,958507,candidate_126,Miotto13,958469,1,1,2,0
482,960326,candidate_1776,Miotto13,960172,0,1,2,0
483,960328,candidate_715,Miotto13,960174,1,1,2,0
484,965597,candidate_1082,Miotto13,965543,0,1,2,0
485,965595,candidate_616,Miotto13,965544,1,1,2,0
486,965719,candidate_1777,Miotto13,965675,0,1,2,0
487,965721,candidate_716,Miotto13,965677,1,1,2,0
488,965759,candidate_1083,Miotto13,965725,0,1,2,0
489,965758,candidate_617,Miotto13,965727,1,1,2,0
