,name,start,stop,length,orientation,sRNA_type,location,targeted gene(s),gene function(s),COG,Source,Northern_validated
26,ncRNA27,2637709,2637796,88,1,sRNA, PPE40 ,,,,H2O2,0
27,ncRNA28,2655339,2655577,239,0,5' UTR, Rv2375 ,,,,H2O2,0
28,ncRNA29,2876380,2876435,56,1,sRNA, alaS ,Rv2555c,alanyl-tRNA synthetase,not categorized in any COG,H2O2,0
29,ncRNA30,3081750,3081846,97,1,sRNA, dapB ,"Rv3695, Rv3730c",conserved membrane protein|conserved hypothetical protein,"Function unknown|Replication, recombination and repair",H2O2,0
30,ncRNA31,3318270,3318344,75,1,sRNA, kdtB ,,,,H2O2,0
31,ncRNA32,3336530,3336796,267,1,5' UTR, ddlA ,"Rv2924c,  Rv2090,  Rv2859c,  Rv0959",formamidopyrimidine-DNA glycosylase|5-3 exonuclease|amidotransferase|conserved hypothetical protein,"Replication, recombination and repair|Replication, recombination and repair",H2O2,0
32,ncRNA33,3467411,3467488,78,1,5' UTR, Rv3098c ,,,,H2O2,0
33,ncRNA34,3509788,3509884,97,0,sRNA, Rv3143 ,,,,H2O2,1
34,ncRNA35,3593498,3593594,97,1,3' UTR, id342 ,,,,H2O2,0
35,ncRNA36,3632062,3632121,60,1,5' UTR, Rv3253c ,,,,H2O2,0
36,ncRNA37,3707615,3707713,99,1,sRNA, vapC44 ,,,,H2O2,0
37,ncRNA38,4054696,4054802,107,0,3' UTR, espD ,,,,H2O2,0
38,ncRNA39,4071776,4071841,66,0,sRNA, Rv3633 ,Rv1926c,immunogenic protein,not categorized in any COG,H2O2,0
39,ncRNA40,4146803,4146891,89,1,3' UTR, gshA ,Rv3703c,conserved hypothetical protein,not categorized in any COG,H2O2,0
40,ncRNA41,4209318,4209392,75,0,sRNA, lpqH ,,,,H2O2,0
41,ncRNA42,4254139,4254361,223,0,sRNA, id403 ,Rv2259,zinc-type alcohol dehydrogenase,Energy production and conversion,H2O2,0
42,ncRNA43,4348747,4348818,72,1,sRNA, id407 ,,,,H2O2,0
43,ncRNA44,4357227,4357323,97,0,sRNA, espJ ,,,,H2O2,0
44,ncRNA45,2981862,2982087,226,0,sRNA, Rv2663 ,,,,Paraquat,0
45,ncRNA46,1788518,1788593,75,1,sRNA,Rv1586c:Rv1587c,,,,MNNG,0
46,ncRNA47,15237,15311,75,0,sRNA, trpG ,,,,MMC,0
47,ncRNA48,30107,30183,77,0,sRNA, Rv0026 ,Rv0104,conserved hypothetical protein,Signal transduction mechanisms,MMC,0
48,ncRNA49,32988,33045,58,0,sRNA, Rv0029 ,Rv2221c,glutamate-ammonia-ligase adenylyltransferase,"Post-translational modification, protein turnover, and chaperones | Signal transduction mechanisms",MMC,0
49,ncRNA50,39302,39371,70,1,3' UTR, Rv0036c ,,,,MMC,0
50,ncRNA51,41839,41903,65,0,sRNA, Rv0038 ,,,,MMC,0
51,ncRNA52,45592,45647,56,0,sRNA, leuS ,,,,MMC,0
52,ncRNA53,102690,102773,84,0,3' UTR, ctpA ,,,,MMC,0
53,ncRNA54,170630,170809,180,0,5' UTR, Rv0144 ,,,,MMC,0
54,ncRNA55,200933,201008,76,0,sRNA, mce1B:mce1C,Rv0171,MCE-family protein,"Secondary metabolites biosynthesis, transport and catabolism",MMC,0
55,ncRNA56,222299,222392,94,0,sRNA, Rv0191 ,,,,MMC,0
56,ncRNA57,247284,247507,224,1,sRNA, mmpL3:Rv0207c,Rv0206c,transmembrane transport protein,General function prediction only,MMC,0
57,ncRNA58,274396,274492,97,1,3' UTR, Rv0229c ,,,,MMC,0
58,ncRNA59,285209,285303,95,1,sRNA, aftD ,,,,MMC,0
59,ncRNA60,329101,329195,95,1,sRNA, Rv0272c ,,,,MMC,0
60,ncRNA61,341853,342006,154,0,sRNA, Rv0281:eccA3,Rv2521,bacterioferritin comigratory protein,"Post-translational modification, protein turnover, and chaperones",MMC,0
61,ncRNA62,345846,345940,95,0,sRNA, eccC3 ,,,,MMC,0
62,ncRNA63,396226,396279,54,0,5' UTR, Rv0331 ,Rv0331,dehydrogenase/reductase,General function prediction only,MMC,0
63,ncRNA64,410447,410525,79,0,sRNA, iniB ,,,,MMC,0
64,ncRNA65,420835,420925,91,0,sRNA, dnaK ,,,,MMC,0
65,ncRNA66,456250,456329,80,1,sRNA, SecE2:Rv0380c ,,,,MMC,0
66,ncRNA67,545749,545820,72,1,sRNA, Rv0455c ,Rv0455c,conserved hypothetical protein,Not in COGs,MMC,0
67,ncRNA68,590350,590418,69,0,sRNA, proC ,,,,MMC,0
68,ncRNA69,601260,601330,71,0,sRNA, hemA ,,,,MMC,0
69,ncRNA70,816373,816467,95,0,sRNA, sppA ,Rv3404c,hypothetical protein,Not in COGs,MMC,0
70,ncRNA71,855428,855497,70,1,sRNA, adhB ,Rv2748c,cell division transmembrane protein,"Cell cycle control, cell division, chromosome partitioning",MMC,0
71,ncRNA72,939875,939939,65,0,sRNA, Rv0843 ,,,,MMC,0
72,ncRNA73,987894,987951,58,0,sRNA, Rv0888 ,,,,MMC,0
73,ncRNA74,988200,988276,77,0,sRNA, Rv0888 ,,,,MMC,0
74,ncRNA75,1005433,1005508,76,1,sRNA, prrB ,"Rv3202c, Rv1419, Rv1679",Possible ATP-dependent DNA helicase|hypothetical protein|acyl-CoA dehydrogenase,"Replication, recombination and repair|Not in COGs|Lipid transport and metabolism",MMC,0
75,ncRNA76,1006733,1006807,75,1,sRNA, accD3 ,,,,MMC,0
76,ncRNA77,1039613,1039693,81,1,sRNA, pknD ,,,,MMC,0
77,ncRNA78,1092690,1092778,89,0,sRNA, PE_PGRS16 ,,,,MMC,0
78,ncRNA79,1132353,1132446,94,0,sRNA, pks16 ,,,,MMC,0
79,ncRNA80,1153315,1153407,93,0,sRNA, kdpA ,Rv3102c,cell division ATP-binding protein,"Cell cycle control, cell division, chromosome partitioning",MMC,0
80,ncRNA81,1157047,1157135,89,1,sRNA, trcS ,,,,MMC,0
81,ncRNA82,1178027,1178121,95,0,3' UTR, Rv1056 ,,,,MMC,0
82,ncRNA83,1230666,1230762,97,1,5' UTR, mazF3 ,,,,MMC,1
83,ncRNA84,1290288,1290405,118,0,3' UTR, narG ,Rv3213c,chromosome partitioning protein,"Cell cycle control, cell division, chromosome partitioning",MMC,0
84,ncRNA86,1299765,1299858,94,1,5' UTR,PPE17: lipX ,Rv1168c,PPE family protein,Cell motility,MMC,0
85,ncRNA85,1299765,1299858,94,1,sRNA, PPE17 ,Rv1168c,PPE family protein,Cell motility,MMC,0
86,ncRNA87,1366923,1367016,94,0,sRNA, htrA ,,,,MMC,0
87,ncRNA88,1371129,1371225,97,0,3' UTR, lpqX ,,,,MMC,0
88,ncRNA89,1371435,1371549,115,0,sRNA, lpqX :Rv1228a,Rv1228,lipoprotein,Not in COGs,MMC,0
89,ncRNA90,1388422,1388515,94,1,sRNA, Rv1245c ,,,,MMC,0
90,ncRNA91,1392353,1392447,95,1,sRNA, Rv1248c ,,,,MMC,0
91,ncRNA92,1394947,1395002,56,0,5' UTR, Rv1250 ,,,,MMC,0
92,ncRNA93,1420308,1420466,159,1,5' UTR, Rv1271c:Rv1272c ,Rv1271c,conserved secreted protein,Not in COGs,MMC,0
93,ncRNA94,1579580,1579644,65,1,sRNA, priA : Rv1403c ,,,,MMC,0
94,ncRNA95,1659523,1659585,63,0,sRNA, trxB1 ,Rv3531c,hypothetical protein,Not in COGs,MMC,0
95,ncRNA96,1701522,1701600,79,0,sRNA, Rv1510 ,Rv3174,short-chain type dehydrogenase/reductase,General function prediction only,MMC,0
96,ncRNA97,1766473,1766542,70,1,sRNA, treZ ,,,,MMC,0
97,ncRNA98,1788505,1788599,95,1,sRNA,Rv1586c:Rv1587c,Rv1586c,phiRv1 integrase,"Replication, recombination and repair",MMC,0
98,ncRNA99,1815358,1815410,53,0,sRNA, Rv1615 ,,,,MMC,0
99,ncRNA100,1906438,1906502,65,0,5' UTR, Rv1682 ,Rv1682,conserved hypothetical protein,Not in COGs,MMC,0
100,ncRNA101,1999676,1999769,94,0,sRNA, Rv1765c:Rv1766 ,Rv1766,conserved hypothetical protein,Function unknown,MMC,0
101,ncRNA102,2000060,2000147,88,0,5' UTR, Rv1767 ,Rv1767,conserved hypothetical protein,Function unknown,MMC,0
102,ncRNA103,2047593,2047688,96,1,sRNA,  Rv18041c :Rv1805c ,,,,MMC,0
103,ncRNA104,2055253,2055316,64,1,sRNA, Rv1812c ,Rv1812c,dehydrogenase,Energy production and conversion,MMC,0
104,ncRNA105,2074926,2075020,95,0,sRNA, Rv1830 ,,,,MMC,0
105,ncRNA106,2123734,2123785,52,0,sRNA, Rv1874 ,,,,MMC,0
106,ncRNA107,2128116,2128210,95,0,sRNA, glnA3 ,,,,MMC,0
107,ncRNA108,2137006,2137085,80,0,5' UTR, Rv1887 ,,,,MMC,0
108,ncRNA109,2198638,2198733,96,1,sRNA, Rv1948c ,,,,MMC,0
109,ncRNA110,2204795,2204866,72,1,sRNA, Rv1961:vapC35 ,,,,MMC,0
110,ncRNA111,2217715,2217786,72,0,5' UTR, Rv1974 ,,,,MMC,0
111,ncRNA112,2223691,2223815,125,1,3' UTR, mpt64 ,,,,MMC,0
112,ncRNA113,2338039,2338124,86,1,sRNA, Rv2081c ,,,,MMC,0
113,ncRNA114,2338481,2338568,88,1,sRNA, Rv2081c ,Rv2081c,transmembrane protein,Not in COGs,MMC,0
114,ncRNA115,2340479,2340554,76,0,sRNA, Rv2082 ,,,,MMC,0
115,ncRNA116,2358420,2358482,63,0,sRNA, Rv2100 ,Rv2100,conserved hypothetical protein,Not in COGs,MMC,0
116,ncRNA117,2425254,2425313,60,1,sRNA, pbpB ,"Rv2540c, Rv3015c, Rv0928",chorismate synthase|conserved hypothetical protein|periplasmic phosphate-binding lipoprotein ,Amino acid tansport and metabolism|Amino acid transport and metabolism|Inorganic ion transport and metabolism,MMC,0
117,ncRNA118,2425718,2425821,104,1,3' UTR, pbpB ,,,,MMC,0
118,ncRNA119,2450181,2450275,95,1,sRNA, pimB ,Rv0872c,PE-PGRS family protein,Not in COGs,MMC,0
119,ncRNA120,2451048,2451186,139,1,sRNA, pimB : Rv2189c,Rv2188c,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,MMC,0
120,ncRNA121,2478632,2478705,74,0,3' UTR, pepB ,Rv0906,conserved hypothetical protein,General function prediction only,MMC,0
121,ncRNA122,2496019,2496112,94,1,5' UTR, caeA ,Rv2556c,conserved hypothetical protein,Function unknown,MMC,0
122,ncRNA123,2505651,2505745,95,1,sRNA, cobC :  vapC16 ,Rv2231c,aminotransferase,Amino acid transport and metabolism,MMC,0
123,ncRNA124,2557630,2557722,93,0,sRNA, Rv2285 ,Rv1258c,conserved membrane transport protein,Not in COGs,MMC,0
124,ncRNA125,2562093,2562178,86,0,sRNA, cdh ,,,,MMC,0
125,ncRNA126,2562243,2562293,51,0,sRNA, cdh ,,,,MMC,0
126,ncRNA127,2567760,2567842,83,0,5' UTR, Rv2296 ,Rv3105c,peptide chain release factor 2,Not in COGs,MMC,0
127,ncRNA128,2683195,2683263,69,1,sRNA, rpfD : hemN,Rv2388c,oxygen-independent coproporphyrinogen III oxidase,Coenzyme transport and metabolism,MMC,0
128,ncRNA129,2774917,2774982,66,0,sRNA, aglA :Rv2472,,,,MMC,0
129,ncRNA130,2819219,2819312,94,1,sRNA, scoA ,Rv2915c,conserved hypothetical protein,"Secondary metabolites biosynthesis, transport and catabolism",MMC,0
130,ncRNA131,2837123,2837209,87,0,sRNA, PE26 ,,,,MMC,0
131,ncRNA132,2886469,2886562,94,0,sRNA, Rv2566 ,Rv2567,conserved alanine and leucine rich protein,Function unknown,MMC,0
132,ncRNA133,2889688,2889780,93,0,sRNA, Rv2566 ,Rv2045c,carboxylesterase,Lipid transport and metabolism,MMC,0
133,ncRNA134,2914452,2914528,77,1,sRNA, secD ,,,,MMC,0
134,ncRNA135,2958341,2958429,89,0,sRNA, Rv2631 ,,,,MMC,0
135,ncRNA136,3022787,3022869,83,0,sRNA, sigB ,,,,MMC,0
136,ncRNA137,3074821,3074907,87,0,3' UTR, Rv2765 ,,,,MMC,0
137,ncRNA138,3085497,3085558,62,1,sRNA, Rv2777c ,Rv2777c,conserved hypothetical protein,General function prediction only,MMC,0
138,ncRNA139,3104510,3104604,95,1,5' UTR, pptT ,,,,MMC,0
139,ncRNA140,3148341,3148394,54,1,sRNA, nusA ,,,,MMC,0
140,ncRNA141,3156160,3156237,78,1,sRNA, cobB ,,,,MMC,0
141,ncRNA142,3187306,3187400,95,0,sRNA, mpt70 ,,,,MMC,0
142,ncRNA143,3191149,3191215,67,1,sRNA, cdsA ,,,,MMC,0
143,ncRNA144,3274196,3274265,70,0,3' UTR, drrC ,,,,MMC,0
144,ncRNA145,3297835,3297905,71,1,5' UTR, fadD22 ,Rv2947c,polyketide synthase,"Secondary metabolites biosynthesis, transport and catabolism",MMC,0
145,ncRNA146,3311430,3311515,86,1,sRNA, Rv2958c ,,,,MMC,0
146,ncRNA147,3611326,3611483,158,0,sRNA, Rv3235 ,Rv3235,"hypothetical alanine, arginine and proline rich protein",Not in COGs,MMC,0
147,ncRNA148,3614221,3614315,95,1,sRNA, Rv3238c ,,,,MMC,0
148,ncRNA149,3645999,3646092,94,1,sRNA, wbbL1 ,Rv3264c,D-alpha-D-mannose-1-phosphate guanylyltransferase,Carbohydrate transport and metabolism | Cell wall/membrane/envelope biogenesis,MMC,0
149,ncRNA150,3655960,3656049,90,0,sRNA, Rv3273 ,,,,MMC,0
150,ncRNA151,3669961,3670049,89,1,sRNA, usfY : Rv3289c ,Rv3288c,hypothetical protein,Not in COGs,MMC,0
151,ncRNA152,3829864,3829956,93,1,sRNA, guaB3: guaB2 ,Rv3410c,inosine-5-monophosphate dehydrogenase,Nucleotide transport and metabolism,MMC,0
152,ncRNA153,3877432,3877526,95,1,sRNA, rplQ:rpoA ,,,,MMC,0
153,ncRNA154,3880991,3881085,95,0,5' UTR, Rv3463 ,,,,MMC,0
154,ncRNA155,3913635,3913695,61,1,5' UTR, lprN ,,,,MMC,0
155,ncRNA156,3922991,3923077,87,0,sRNA, fadE26 ,Rv0025,conserved hypothetical protein,Not in COGs,MMC,0
156,ncRNA157,3995621,3995691,71,1,sRNA, Rv3555c ,Rv3555c,conserved hypothetical protein,Function unknown,MMC,0
157,ncRNA158,4025490,4025567,78,1,sRNA, Rv3583c ,Rv3583c,transcriptional regulator,Transcription,MMC,0
158,ncRNA159,4048579,4048672,94,1,sRNA, folK ,Rv2922A,acylphosphatase,Energy production and conversion,MMC,0
159,ncRNA160,4069911,4070003,93,0,3' UTR, Rv3630 ,,,,MMC,0
160,ncRNA161,4185024,4185117,94,1,sRNA, tgs2 ,,,,MMC,0
161,ncRNA162,4187520,4187614,95,0,sRNA, Rv3736 ,,,,MMC,0
162,ncRNA163,4192859,4192954,96,1,sRNA, Rv3742c ,Rv3741c,oxidoreductase,Inorganic ion transport and metabolism,MMC,0
163,ncRNA164,4249963,4250026,64,0,sRNA, atsH ,,,,MMC,0
164,ncRNA165,4264693,4264783,91,1,sRNA, fbpD ,,,,MMC,0
165,ncRNA166,4288821,4288915,95,1,sRNA, mmpL8 ,,,,MMC,0
166,ncRNA167,236584,236681,98,0,sRNA, Rv0199 ,Rv0199,conserved membrane protein,Not in COGs,DETA_NO,0
167,ncRNA168,532214,532307,94,0,sRNA, PPE10 ,,,,DETA_NO,0
168,ncRNA169,851634,851739,106,0,sRNA, phoP ,phoP,two component system transcriptional regulator,Not in COGs,DETA_NO,0
169,ncRNA170,936677,936811,135,1,sRNA, pip ,,,,DETA_NO,0
170,ncRNA171,937972,938239,268,0,sRNA, Rv0842 ,Rv0842,conserved membrane protein,"Replication, recombination and repair",DETA_NO,0
171,ncRNA172,1136872,1136947,76,1,5' UTR, glmU ,argC,N-acetl-gamma-glutamyl-phoshate reductase,"Secondary metabolites biosynthesis, transport and catabolism",DETA_NO,0
172,ncRNA173,1179214,1179356,143,1,sRNA,Rv1056:Rv1057,,,,DETA_NO,0
173,ncRNA174,1230666,1230721,56,1,sRNA, mazF3 ,,,,DETA_NO,0
174,ncRNA175,1484293,1484385,93,0,sRNA, Rv1321 ,Rv1321,conserved hypothetical protein,Amino acid transport and metabolism,DETA_NO,0
175,ncRNA176,1530666,1530759,94,0,sRNA, Rv1359 ,,,,DETA_NO,0
176,ncRNA177,1697713,1697806,94,0,sRNA, Rv1507A ,,,,DETA_NO,0
177,ncRNA178,1718008,1718088,81,0,sRNA, Rv1523 ,,,,DETA_NO,0
178,ncRNA179,1999499,1999769,271,0,5' UTR, Rv1766 ,cyp143,cytochrome P450 143,Not in COGs,DETA_NO,0
179,ncRNA180,2024575,2024626,52,1,sRNA, cyp143 ,cyp143,conserved hypothetical protein,Energy production and conversion,DETA_NO,0
180,ncRNA181,2026157,2026247,91,0,sRNA, PPE25 ,,,,DETA_NO,0
181,ncRNA182,2047593,2047688,96,1,5' UTR, Rv1805c ,,,,DETA_NO,0
182,ncRNA183,2068801,2068853,53,0,sRNA, secA2 ,,,,DETA_NO,0
183,ncRNA184,2116399,2116463,65,0,sRNA, Rv1867 ,Rv0242c,Involved in the fatty acid biosynthesis pathway,Signal transduction mechanisms | Transcription,DETA_NO,0
184,ncRNA185,2130251,2130318,68,0,sRNA, Rv1879 ,,,,DETA_NO,0
185,ncRNA186,2198638,2198733,96,1,5' UTR, Rv1948c ,,,,DETA_NO,0
186,ncRNA187,2364798,2364877,80,1,sRNA, Rv2104a ,,,,DETA_NO,0
187,ncRNA188,2532153,2532212,60,0,sRNA,Rv2558c:adhE2,adhE2,zinc-type alcohol dehydrogenase,Function unknown,DETA_NO,0
188,ncRNA189,2945501,2945573,73,0,sRNA, Rv2616 ,,,,DETA_NO,0
189,ncRNA190,2945626,2945820,195,0,5' UTR, Rv2616 ,rfbD,O-antigen/lipopolysaccharide transport membrane protein ABC transporter,Carbohydrate transport and metabolism | Cell wall/membrane/envelope biogenesis,DETA_NO,0
190,ncRNA191,2952089,2952145,57,1,sRNA, Rv2625c ,,,,DETA_NO,0
191,ncRNA192,3154650,3154756,107,1,sRNA, cysG ,efpA,membrane efflux protein,Not in COGs,DETA_NO,1
192,ncRNA193,3191149,3191234,86,1,5' UTR, cdsA ,,,,DETA_NO,0
193,ncRNA194,3356858,3356933,76,0,sRNA, Rv2998 ,Rv2998,hypothetical protein,Function unknown,DETA_NO,0
194,ncRNA195,3632062,3632128,67,1,sRNA, Rv3253c ,,,,DETA_NO,0
195,ncRNA196,3821891,3822009,119,0,3' UTR, Rv3402c ,,,,DETA_NO,0
196,ncRNA197,3899067,3899121,55,1,5' UTR, Rv3480c ,,,,DETA_NO,0
197,ncRNA198,4140129,4140181,53,1,3' UTR, vapC48 ,,,,DETA_NO,0
198,ncRNA199,4146803,4146895,93,1,5' UTR, etgB ,etgB,conserved hypothetical protein,Function unknown,DETA_NO,0
199,ncRNA200,4146803,4146895,93,1,sRNA, gshA ,etgB,conserved hypothetical protein,Inorganic ion transport and metabolism,DETA_NO,1
200,ncRNA201,4192780,4192954,175,1,5' UTR, Rv3741c ,Rv3741c,oxidoreductase,Carbohydrate transport and metabolism | Cell wall/membrane/envelope biogenesis,DETA_NO,0
201,ncRNA202,4387473,4387536,64,1,sRNA, Rv3902c ,,,,DETA_NO,0
