,Candidate ID,Start,End,Strand,Type,Length,mean reads coverage,mean conservation,-10 promoter consensus,Terminator,MFE p-val,Array p-val,p-adj,Relative position to CDSs,Within,Antisense to,DistClosestGeneUP,DistClosestGeneDOWN,Northern_validation
40,candidate_41,331647,331696,1,A,49,757.24,0.102,1,0,0.602,2.62E-01,1.00E+00,AS to 5'/3' UTRs,"5', Rv0276","5', Rv0275c",-11,-763,0
41,candidate_42,333375,333418,1,A,43,414.977,0.091,0,0,0.944,2.10E-06,2.43E-03,AS to 5'/3' UTRs,,"3', Rv0278c",239,19,0
42,candidate_43,341947,342078,1,A,131,670.045,0.271,0,0,0.365,1.01E-02,1.00E+00,Within 5'/3' UTRs,"3', Rv0281; 5', Rv0282",,41,52,0
43,candidate_44,353036,353068,1,A,32,224.939,0.503,0,0,1,9.82E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0289; 5', Rv0290",,0,15,0
44,candidate_45,357611,357662,1,A,51,100.481,0,0,0,0.883,6.97E-01,1.00E+00,AS,,Rv0293c,-453,-800,0
45,candidate_46,373109,373150,1,A,41,132.69,0,1,0,0.699,5.76E-01,1.00E+00,AS,,Rv0305c,-2602,-330,0
46,candidate_47,382992,383028,1,A,36,129.676,0,0,0,0.388,7.58E-01,1.00E+00,AS,,Rv0314c,-549,-149,0
47,candidate_48,402504,402534,1,A,30,113,0,1,0,0.951,9.99E-01,1.00E+00,AS,,Rv0337c,-658,-661,0
48,candidate_49,419713,419835,1,A,122,542.268,0.556,1,0,0.003,4.12E-07,4.85E-04,Within 5'/3' UTRs,"5', Rv0350",,105,0,0
49,candidate_50,442272,442322,1,A,50,133.569,0.06,0,0,0.944,4.58E-02,1.00E+00,AS to 5'/3' UTRs,"5', Rv0364","5', Rv0363c",-27,-1057,0
50,candidate_51,458945,458976,1,A,31,133.5,0,1,0,0.246,9.83E-01,1.00E+00,AS,,Rv0383c,-370,-515,0
51,candidate_52,482459,482496,1,A,37,249.079,0,1,0,0.65,9.93E-01,1.00E+00,AS,,Rv0402c,-772,-2141,0
52,candidate_53,483277,483308,1,A,31,71.375,0,0,0,0.823,9.77E-01,1.00E+00,AS,,Rv0403c,-379,-80,0
53,candidate_54,498401,498455,1,A,54,381.273,0,1,0,0.217,0.00E+00,0.00E+00,AS,,Rv0412c,-1218,-155,1
54,candidate_55,498530,498580,1,A,50,212.863,0,1,0,0.337,5.01E-01,1.00E+00,AS,,Rv0412c,-1089,-280,0
55,candidate_56,498842,498873,1,A,31,320.438,0,1,0,0.926,9.80E-01,1.00E+00,AS,,Rv0412c,-777,-573,0
56,candidate_57,510499,510534,1,A,35,164.972,0,0,0,0.819,9.99E-01,1.00E+00,AS,,Rv0424c,-153,-157,0
57,candidate_58,511762,511802,1,A,40,105.537,0,0,0,0.626,4.90E-03,1.00E+00,AS,,Rv0425c,-3559,-1100,0
58,candidate_59,513150,513200,1,A,50,331.353,0,1,1,0.704,9.43E-01,1.00E+00,AS,,Rv0425c,-2171,-2498,0
59,candidate_60,515859,515929,1,A,70,140.634,0.073,1,0,0.131,8.38E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0426c",43,88,0
60,candidate_61,530307,530346,1,A,39,168.025,0,1,0,0.748,7.50E-03,1.00E+00,AS,"3', Rv0440",Rv0441c,-417,-50,0
61,candidate_62,530514,530563,1,A,49,110.54,0,1,1,0.943,8.52E-01,1.00E+00,AS,,Rv0441c,-210,-267,0
62,candidate_63,540234,540363,1,A,129,183.8,0,1,0,0.874,2.12E-04,2.30E-01,AS,,Rv0450c,-1257,-1775,0
63,candidate_64,541225,541278,1,A,53,294.13,0,1,0,0.79,9.71E-01,1.00E+00,AS,,Rv0450c,-266,-2690,0
64,candidate_65,541348,541384,1,A,36,112.189,0,0,0,0.969,7.15E-01,1.00E+00,AS,,Rv0450c,-143,-2796,0
65,candidate_66,541778,541817,1,A,39,287.95,0,1,0,0.877,2.33E-15,3.02E-12,AS,,Rv0451c,-132,-329,0
66,candidate_67,545690,545825,1,A,135,1688.89,0.002,1,0,0.177,8.75E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0455c",-131,-450,0
67,candidate_68,554348,554437,1,A,89,182.922,0,1,0,0.359,9.69E-01,1.00E+00,AS,,Rv0464c,-537,-124,0
68,candidate_69,554503,554591,1,A,88,121.921,0,1,0,0.323,2.63E-02,1.00E+00,AS,,Rv0464c,-382,-278,0
69,candidate_70,568353,568399,1,A,46,222.702,0,1,0,0.258,3.35E-03,1.00E+00,AS,,Rv0479c,-614,-478,0
70,candidate_71,595018,595056,1,A,38,119.949,0,0,0,0.959,7.46E-01,1.00E+00,AS,,Rv0504c,-284,-254,0
71,candidate_72,596658,596694,1,A,36,714.892,0.138,1,0,0.866,6.66E-01,1.00E+00,AS to 5'/3' UTRs,"5', Rv0506","3', Rv0505c",73,65,0
72,candidate_73,610916,610954,1,A,38,71.872,0.12,1,0,0.459,9.97E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0518",,33,218,0
73,candidate_74,611034,611074,1,A,40,491.683,0.121,0,0,0.5,8.79E-01,1.00E+00,Intergenic,,,151,98,0
74,candidate_75,622157,622299,1,A,142,917.804,1.36,1,0,0.123,1.83E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0530; 5', Rv0531",,33,30,0
75,candidate_76,629877,629975,1,A,98,139.242,0.517,1,0,0.668,1.02E-04,1.12E-01,Within 5'/3' UTRs,"5', Rv0538",,146,65,-1
76,candidate_77,636830,636883,1,A,53,375.315,0,0,0,0.971,7.65E-01,1.00E+00,AS,,Rv0545c,-633,-673,0
77,candidate_78,665078,665110,1,A,32,231.788,0,0,0,0.028,9.91E-01,1.00E+00,AS,,Rv0572c,-305,-68,0
78,candidate_79,665611,665695,1,A,84,177.482,0.138,1,0,0.126,9.63E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv4004",228,156,0
79,candidate_80,665759,665790,1,A,31,201.281,0.138,0,0,0.982,1.00E+00,1.00E+00,AS to 5'/3' UTRs,,"3', Rv0573c",376,61,0
80,candidate_81,676000,676036,1,A,36,254.162,0.087,1,0,0.028,8.60E-01,1.00E+00,Intergenic,,,84,202,0
81,candidate_82,678621,678785,1,A,164,196.206,0,0,0,0.305,0.00E+00,0.00E+00,AS,,Rv0583c,-454,-396,0
82,candidate_83,678846,679004,1,A,158,309.277,0,0,0,0.317,5.86E-01,1.00E+00,AS,,Rv0583c,-229,-615,0
83,candidate_84,704187,704246,1,A,59,3648.933,0.131,1,1,0.001,0.00E+00,0.00E+00,Intergenic,,,130,506,0
84,candidate_85,706101,706243,1,A,142,367.846,0,1,0,0.471,1.68E-09,2.06E-06,AS,,Rv0611c,-243,-282,0
85,candidate_86,728649,728680,1,A,31,102.375,0,0,0,0.859,4.00E-02,1.00E+00,AS,,Rv0632c,-629,-97,0
86,candidate_87,731676,731712,1,A,36,2368.027,0.125,0,0,0.445,9.89E-01,1.00E+00,Within 5'/3' UTRs,"3', Rvnt07; 5', Rv0634B",,0,0,0
87,candidate_88,733395,733450,1,A,55,80.911,0.693,1,0,0.605,4.31E-07,5.06E-04,Within 5'/3' UTRs,"3', Rv0637; 5', Rvnt08",,70,74,0
88,candidate_89,734222,734254,1,A,32,547.758,0.125,0,0,0.803,7.97E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0638; 5', Rv0639",,0,0,0
89,candidate_90,736978,737012,1,A,34,118.8,0,0,0,0.911,6.66E-01,1.00E+00,AS,,Rv0642c,-225,-714,0
90,candidate_91,737120,737171,1,A,51,457.327,0,1,0,0.039,4.37E-04,4.71E-01,AS,,Rv0642c,-83,-873,0
91,candidate_92,739786,739822,1,A,36,116.946,0,0,0,0.797,9.73E-01,1.00E+00,AS,,Rv0645c,-401,-495,0
92,candidate_93,740081,740134,1,A,53,152.87,0,1,1,0.782,5.81E-01,1.00E+00,AS,,Rv0645c,-106,-807,0
93,candidate_94,740191,740226,1,A,35,117.306,0.073,1,0,0.645,9.89E-01,1.00E+00,AS to 5'/3' UTRs,,"3', Rv0646c; 5', Rv0645c",4,8,0
94,candidate_95,748168,748203,1,A,35,284.722,1.572,0,1,0.001,1.00E+00,1.00E+00,Within 5'/3' UTRs,"5', Rv0651",,223,73,0
95,candidate_96,759594,759659,1,A,65,181.5,4.416,1,0,0.649,2.23E-02,1.00E+00,Intergenic,,,285,148,0
96,candidate_97,759764,759807,1,A,43,241.182,0.385,0,0,0.446,1.09E-01,1.00E+00,Within 5'/3' UTRs,"5', Rv0667",,455,0,0
97,candidate_98,767320,767382,1,A,62,165.111,1.69,0,0,0.001,2.57E-03,1.00E+00,Within 5'/3' UTRs,"3', Rv0668",,0,302,0
98,candidate_99,781428,781465,1,A,37,951.237,0.568,1,0,0.797,1.10E-01,1.00E+00,Intergenic,,,117,95,0
99,candidate_100,781517,781560,1,A,43,130.409,0.135,0,1,0.966,5.36E-09,6.50E-06,Within 5'/3' UTRs,"5', Rv0682",,206,0,0
100,candidate_101,782439,782485,1,A,46,164.83,1.177,0,0,0.84,3.47E-03,1.00E+00,Within 5'/3' UTRs,"3', Rv0683; 5', Rv0684",,35,0,0
101,candidate_102,784631,784763,1,A,132,954.932,0.31,0,0,0.518,1.20E-02,1.00E+00,Within 5'/3' UTRs,"3', Rv0684, 5', Rv0685",,41,58,0
102,candidate_103,786036,786069,1,A,33,157.353,0.138,0,1,0.001,9.56E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv0685",,25,80,0
103,candidate_104,791746,791780,1,A,34,231.486,0.288,1,0,0.542,9.98E-01,1.00E+00,Within 5'/3' UTRs,"5', Rv0692",,80,51,0
104,candidate_105,802498,802528,1,A,30,1645.258,0.664,0,0,1,9.96E-01,1.00E+00,Within 5'/3' UTRs,"3' Rv0703; 5', Rv0704",,63,0,0
105,candidate_106,806185,806218,1,A,33,92.794,1.42,0,0,0.001,0.00E+00,0.00E+00,Within 5'/3' UTRs,"3', Rv0710",,19,117,-1
106,candidate_107,818987,819021,1,A,34,74.229,0,1,0,0.709,9.43E-01,1.00E+00,AS,,Rv0726c,-653,-484,0
107,candidate_108,848128,848164,1,A,36,148.486,0,1,0,0.742,9.99E-01,1.00E+00,AS,,Rv0755c,-1912,-61,0
108,candidate_109,849017,849057,1,A,40,161.415,0,1,0,0.926,8.41E-01,1.00E+00,AS,,Rv0755c,-1023,-954,0
109,candidate_110,850682,850728,1,A,46,170.702,0.03,0,0,0.381,5.84E-01,1.00E+00,AS to 5'/3' UTRs,,"3', Rv0756c; 5', Rvnt09",-31,-86,0
110,candidate_111,850820,850852,1,A,32,695.909,0,0,0,0.419,8.44E-01,1.00E+00,AS,,Rv0756c,-646,-111,0
111,candidate_112,851548,851608,1,A,60,511.77,0.65,0,0,0.397,1.78E-02,1.00E+00,Within 5'/3' UTRs,"5', Rv0757",,82,0,0
112,candidate_113,854390,854422,1,A,32,99.97,0,0,0,0.396,9.87E-01,1.00E+00,AS,,Rv0760c,-296,-155,0
113,candidate_114,855429,855473,1,A,44,291.489,0,1,0,0.3,3.06E-01,1.00E+00,AS,,Rv0761c,-397,-774,0
114,candidate_115,856788,856824,1,A,36,152.865,0,1,0,0.358,8.91E-01,1.00E+00,AS,,Rv0764c,-1249,-142,0
115,candidate_116,885906,885956,1,A,50,123,0,1,0,0.885,3.52E-01,1.00E+00,AS,,Rv0792c,-740,-119,0
116,candidate_117,891799,891840,1,A,41,252.952,0,1,0,0.344,1.31E-01,1.00E+00,AS,,Rv0798c,-470,-368,0
117,candidate_118,898791,898828,1,A,37,772.842,0.138,1,1,0.14,5.64E-05,6.29E-02,Within 5'/3' UTRs,"5', Rv0805",,81,3,0
118,candidate_119,909369,909585,1,A,216,657.705,2.357,0,0,0.277,8.23E-04,8.78E-01,AS to 5'/3' UTRs,,"3', Rv0816c; 5', Rv0815c",51,26,0
119,candidate_120,913665,913705,1,A,40,156.293,0,1,0,0.171,4.92E-02,1.00E+00,AS,,Rv0821c,-534,-147,0
120,candidate_121,918327,918360,1,A,33,250.059,0,0,0,0.488,1.00E+00,1.00E+00,AS,,Rv0824c,-423,-626,0
121,candidate_122,919575,919619,1,A,44,432.378,0.503,1,0,0.727,9.10E-01,1.00E+00,AS to 5'/3' UTRs,"5', Rv0826","5', Rv0825c",22,15,0
122,candidate_123,923337,923424,1,A,87,445.273,0,1,0,0.819,9.61E-01,1.00E+00,AS,,Rv0831c,-372,-530,0
123,candidate_124,937959,938084,1,A,125,237.627,0.134,1,0,0.012,1.68E-03,1.00E+00,Within 5'/3' UTRs,"5', Rv0842",,124,28,0
124,candidate_125,942932,942998,1,A,66,180.119,0,0,0,0.717,3.00E-03,1.00E+00,AS,,Rv0846c,-1262,-318,0
125,candidate_126,958469,958507,1,A,38,158.615,2.765,0,1,0.001,0.00E+00,0.00E+00,AS to 5'/3' UTRs,"3', Rv0860","3', Rv0861c",14,16,0
126,candidate_127,967700,967731,1,A,31,474.781,0,0,0,0.687,9.94E-01,1.00E+00,AS,,Rv0870c,-33,-387,0
127,candidate_128,981220,981285,1,A,65,265.439,0.622,0,0,0.767,4.71E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0883c",-47,-779,0
128,candidate_129,987054,987164,1,A,110,358.297,0.138,0,0,0.601,9.95E-01,1.00E+00,Within 5'/3' UTRs,"5', Rv0888",,1083,69,0
129,candidate_130,1002780,1002812,1,A,32,288.03,0.134,1,0,0.746,2.61E-04,2.84E-01,AS to 5'/3' UTRs,"5', Rv0899","5', Rv0898c",76,0,0
130,candidate_131,1029499,1029546,1,A,47,146.563,0.04,0,1,0.429,1.07E-12,1.37E-09,AS to 5'/3' UTRs,,"3', Rv0923c",-1078,-33,0
131,candidate_132,1038819,1038867,1,A,48,309.694,0,0,0,0.862,0.00E+00,0.00E+00,AS,,Rv0931c,-1095,-947,0
132,candidate_133,1039633,1039677,1,A,44,93,0,1,0,0.784,1.41E-05,1.60E-02,AS,,Rv0931c,-281,-1757,0
133,candidate_134,1039986,1040021,1,A,35,80.556,0,1,0,0.17,9.94E-01,1.00E+00,AS,,Rv0932c,-1062,-85,0
134,candidate_135,1040645,1040938,1,A,293,1264.793,0,1,1,0.03,5.32E-07,6.24E-04,AS,,Rv0932c,-403,-1002,1
135,candidate_136,1041023,1041056,1,A,33,150.088,0.028,0,1,0.758,8.17E-01,1.00E+00,AS to 5'/3' UTRs,,"5', Rv0932c",-25,-1120,0
136,candidate_137,1061586,1061735,1,A,149,803.307,0.761,1,0,0.609,0.00E+00,0.00E+00,AS to 5'/3' UTRs,,"5', Rv0950c",-68,-1079,0
137,candidate_138,1108205,1108277,1,A,72,515.918,0,1,0,0.671,5.76E-01,1.00E+00,AS,,Rv0991c,-299,-105,0
138,candidate_139,1108506,1108553,1,A,47,840.896,2.281,1,0,0.883,9.05E-01,1.00E+00,AS to 5'/3' UTRs,,"3', Rv0992c; 5', Rv0991c",2,25,0
139,candidate_140,1127953,1128073,1,A,120,761.752,0.505,1,0,0.327,5.88E-08,7.03E-05,Within 5'/3' UTRs,"3', Rv1008; 5', Rv1009",,70,18,0
140,candidate_141,1133278,1133310,1,A,32,136.212,1.575,0,0,0.001,0.00E+00,0.00E+00,AS to 5'/3' UTRs,"3', Rv1013","3', Rv1014c",19,23,0
141,candidate_142,1144525,1144564,1,A,39,405.75,0.135,1,0,0.678,3.70E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv1022; 5', Rv1023",,58,0,0
142,candidate_143,1149692,1149736,1,A,44,118.311,0,1,0,0.319,1.16E-12,1.47E-09,AS,,Rv1028c,-1994,-632,0
143,candidate_144,1160375,1160410,1,A,35,5996,0,1,0,0.73,3.79E-01,1.00E+00,AS,,Rv1036c,-58,-315,0
144,candidate_145,1195035,1195074,1,A,39,327.8,0,0,0,0.931,9.98E-01,1.00E+00,AS to 5'/3' UTRs,,"3', Rv1071c; 5', Rv1070c",-1057,-804,0
145,candidate_146,1195213,1195245,1,A,32,110.909,0,0,0,0.822,9.98E-01,1.00E+00,AS,,Rv1071c,-879,-190,0
146,candidate_147,1196177,1196279,1,A,102,197.32,0.873,1,0,0.82,0.00E+00,0.00E+00,Within 5'/3' UTRs,"5', Rv1072",,85,0,0
147,candidate_148,1197115,1197197,1,A,82,324.916,0.225,0,0,0.001,0.00E+00,0.00E+00,Within 5'/3' UTRs,"3', Rv1072; 5', Rv1073",,0,34,0
148,candidate_149,1200555,1200605,1,A,50,4366.275,1.33,1,0,0.744,0.00E+00,0.00E+00,Intergenic,,,185,162,1
149,candidate_150,1224323,1224355,1,A,32,199.03,2,0,1,0.001,9.98E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv1095; 5', Rv1096",,25,30,0
150,candidate_151,1225894,1225925,1,A,31,87.75,0,0,0,0.644,5.81E-01,1.00E+00,AS,,Rv1097c,-250,-662,0
151,candidate_152,1226093,1226126,1,A,33,107.294,0,0,0,0.169,3.24E-01,1.00E+00,AS,,Rv1097c,-51,-863,0
152,candidate_153,1230893,1231069,1,A,176,119.949,0,0,0,0.737,0.00E+00,0.00E+00,AS,,"Rv1102c, Rv1103c",-398,-409,0
153,candidate_154,1261235,1261277,1,A,42,89.279,0,1,0,0.95,2.53E-01,1.00E+00,AS,,Rv1133c,-111,-2210,0
154,candidate_155,1261316,1261376,1,A,60,129.787,0.052,0,0,0.984,2.05E-02,1.00E+00,AS to 5'/3' UTRs,,"5', Rv1133c",-30,-2309,0
155,candidate_156,1261608,1261638,1,A,30,143.645,3.521,0,0,0.28,9.99E-01,1.00E+00,Intergenic,,,262,284,0
156,candidate_157,1275633,1275677,1,A,44,138.8,0.087,0,0,0.024,6.89E-02,1.00E+00,Intergenic,,,83,623,0
157,candidate_158,1276248,1276301,1,A,53,129.944,0.098,0,0,0.09,1.58E-07,1.87E-04,AS to 5'/3' UTRs,,"3', Rv1148c",-1500,-1,0
158,candidate_159*,1282056,1282133,1,A,77,224.974,0.177,1,0,0.034,7.02E-04,7.51E-01,to be excluded - intergenic,,,184,173,0
159,candidate_160,1282944,1282976,1,A,32,186.455,0.176,0,0,0.651,6.20E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv1156",,51,80,0
160,candidate_161,1287126,1287201,1,A,75,138.171,0.138,1,0,0.893,0.00E+00,0.00E+00,Intergenic,,,106,127,1
161,candidate_162,1298318,1298357,1,A,39,77.575,0,0,0,0.299,9.94E-01,1.00E+00,AS,,Rv1167c,-374,-270,0
162,candidate_163,1300168,1300225,1,A,57,894.052,0.138,0,0,0.825,1.34E-02,1.00E+00,AS to 5'/3' UTRs,"5', Rv1178","5', Rv1169c",44,79,0
163,candidate_164,1301231,1301261,1,A,30,791.581,2.787,0,0,0.587,9.55E-01,1.00E+00,Within 5'/3' UTRs,"3', Rv1170; 5' Rv1171",,16,46,0
164,candidate_165,1302856,1302896,1,A,40,816.22,0.138,1,0,0.413,1.99E-10,2.45E-07,Within 5'/3' UTRs,"5', Rv1173",,175,35,0
165,candidate_166,1306828,1306865,1,A,37,165.342,0,0,0,0.261,1.74E-01,1.00E+00,AS,,Rv1175c,-1398,-663,0
166,candidate_167,1308924,1309005,1,A,81,1006.951,0.108,1,0,0.908,1.59E-11,1.99E-08,Within 5'/3' UTRs,"5', Rv1177",,132,0,0
167,candidate_168,1325016,1325143,1,A,127,660.117,0,1,0,0.478,5.01E-04,5.38E-01,AS,,Rv1184c,-595,-611,0
168,candidate_169,1326145,1326204,1,A,59,1025.9,0,1,0,0.178,7.80E-01,1.00E+00,AS,,Rv1185c,-1367,-428,0
169,candidate_170,1326328,1326361,1,A,33,97.176,0,0,0,0.573,9.99E-01,1.00E+00,AS,,Rv1185c,-1184,-585,0
170,candidate_171,1326553,1326681,1,A,128,2457.248,0,1,0,0.758,1.21E-02,1.00E+00,AS,,Rv1185c,-959,-905,0
171,candidate_172,1326716,1326746,1,A,30,180.29,0,0,0,0.374,1.00E+00,1.00E+00,AS,,Rv1185c,-796,-970,0
172,candidate_173,1326828,1327141,1,A,313,577.016,0,0,0,0.39,2.23E-02,1.00E+00,AS,,Rv1185c,-684,-1365,0
173,candidate_174,1338906,1338962,1,A,56,258.895,0.137,0,0,0.393,0.00E+00,0.00E+00,Within 5'/3' UTRs,"5', Rv1195",,393,41,0
174,candidate_175,1342774,1342811,1,A,37,244.842,0.138,1,0,0.643,3.98E-01,1.00E+00,Intergenic,,,169,131,0
175,candidate_176,1342874,1342914,1,A,40,454.171,0.138,1,0,0.688,1.05E-03,1.00E+00,Within 5'/3' UTRs,"5', Rv1200",,269,28,0
176,candidate_177,1354679,1354719,1,A,40,171.463,0,0,0,0.263,9.58E-01,1.00E+00,AS,,Rv1212c,-982,-221,0
177,candidate_178,1359196,1359268,1,A,72,203.233,0,1,0,0.789,7.24E-01,1.00E+00,AS,,Rv1215c,-248,-1509,0
178,candidate_179,1359461,1359582,1,A,121,146.844,0.012,1,0,0.086,2.46E-10,3.03E-07,AS to 5'/3' UTRs,,"3', Rv1216c; 5', Rv1215c",-685,-110,0
179,candidate_180,1372468,1372660,1,A,192,565.71,0,1,0,0.85,1.22E-01,1.00E+00,AS,,Rv1229c,-481,-883,0
180,candidate_181,1372701,1372792,1,A,91,159.902,0,0,0,0.728,1.37E-03,1.00E+00,AS,,Rv1229c,-248,-1015,0
181,candidate_182,1376548,1376592,1,A,44,510.311,0,1,0,0.591,1.78E-11,2.23E-08,AS,,Rv1233c,-278,-362,0
182,candidate_183,1376687,1376720,1,A,33,237.382,0,0,0,0.106,2.78E-12,3.52E-09,AS,,Rv1233c,-139,-490,0
183,candidate_184,1392354,1392391,1,A,37,230.868,0,1,0,0.175,2.81E-08,3.37E-05,AS,,Rv1248c,-698,-3034,0
184,candidate_185,1413189,1413225,1,A,36,197.649,1.245,0,0,0.643,5.75E-01,1.00E+00,Within 5'/3' UTRs,"5', Rv1265",,102,35,0
