,name,end,start,strand,source
50,Rv0051,57378,55696,1,Refseq
51,Rv0052,57973,57410,1,Refseq
52,Rv0053,58482,58192,1,Refseq
53,Rv0054,59080,58586,1,Refseq
54,Rv0055,59376,59122,1,Refseq
55,Rv0056,59867,59409,1,Refseq
56,Rv0057,60417,59896,1,Refseq
57,Rv0058,63020,60396,1,Refseq
58,Rv0059,63892,63200,1,Refseq
59,Rv0060,64967,63909,1,Refseq
60,Rv0061,65416,64991,1,Refseq
61,Rv0062,66694,65552,1,Refseq
62,Rv0063,68362,66923,1,Refseq
63,Rv0064,71559,68620,1,Refseq
64,Rv0065,72222,71821,1,Refseq
65,Rv0066c,74511,72274,0,Refseq
66,Rv0067c,75198,74629,0,Refseq
67,Rv0068,76212,75301,1,Refseq
68,Rv0069c,77622,76237,0,Refseq
69,Rv0070c,78896,77619,0,Refseq
70,Rv0071,80193,79486,1,Refseq
71,Rv0072,81673,80624,1,Refseq
72,Rv0073,82668,81676,1,Refseq
73,Rv0074,83983,82748,1,Refseq
74,Rv0075,85168,83996,1,Refseq
75,Rv0076c,85572,85183,0,Refseq
76,Rv0077c,86466,85636,0,Refseq
77,Rv0078,87133,86528,1,Refseq
78,Rv0078A,87801,87208,0,Refseq
79,Rv0079,89025,88204,1,Refseq
80,Rv0080,89480,89022,1,Refseq
81,Rv0081,89919,89575,1,Refseq
82,Rv0082,90403,89924,1,Refseq
83,Rv0083,92322,90400,1,Refseq
84,Rv0084,93278,92328,1,Refseq
85,Rv0085,93951,93289,1,Refseq
86,Rv0086,95417,93951,1,Refseq
87,Rv0087,96892,95414,1,Refseq
88,Rv0088,97601,96927,1,Refseq
89,Rv0089,98351,97758,1,Refseq
90,Rv0090,99250,98480,1,Refseq
91,Rv0091,100451,99684,1,Refseq
92,Rv0092,102868,100583,1,Refseq
93,Rv0093c,103663,102815,0,Refseq
94,Rv0094c,104663,103710,0,Refseq
95,Rv0095c,105215,104805,0,Refseq
96,Rv0096,106715,105324,1,Refseq
97,Rv0097,107603,106734,1,Refseq
98,Rv0098,108151,107600,1,Refseq
99,Rv0099,109778,108156,1,Refseq
100,Rv0100,110019,109783,1,Refseq
101,Rv0101,117539,110001,1,Refseq
102,Rv0102,119699,117714,1,Refseq
103,Rv0103c,122173,119915,0,Refseq
104,Rv0104,123831,122317,1,Refseq
105,Rv0105c,124264,123980,0,Refseq
106,Rv0106,125570,124374,1,Refseq
107,Rv0107c,130541,125643,0,Refseq
108,Rv0108c,131104,130895,0,Refseq
109,Rv0109,132872,131382,1,Refseq
110,Rv0110,133769,133020,1,Refseq
111,Rv0111,136007,133950,1,Refseq
112,Rv0112,137245,136289,1,Refseq
113,Rv0113,137909,137319,1,Refseq
114,Rv0114,138513,137941,1,Refseq
115,Rv0115,139673,138513,1,Refseq
116,Rv0116c,141022,140267,0,Refseq
117,Rv0117,142144,141200,1,Refseq
118,Rv0118c,143876,142128,0,Refseq
119,Rv0119,145626,144049,1,Refseq
120,Rv0120c,147771,145627,0,Refseq
121,Rv0121c,148342,147908,0,Refseq
122,Rv0122,148859,148491,1,Refseq
123,Rv0123,149224,148856,1,Refseq
124,Rv0124,150996,149533,1,Refseq
125,Rv0125,152215,151148,1,Refseq
126,Rv0126,154129,152324,1,Refseq
127,Rv0127,155599,154232,1,Refseq
128,Rv0128,156446,155667,1,Refseq
129,Rv0129c,157600,156578,0,Refseq
130,Rv0130,158302,157847,1,Refseq
131,Rv0131c,159658,158315,0,Refseq
132,Rv0132c,160782,159700,0,Refseq
133,Rv0133,161474,160869,1,Refseq
134,Rv0134,162673,161771,1,Refseq
135,Rv0135c,163249,162644,0,Refseq
136,Rv0136,164691,163366,1,Refseq
137,Rv0137c,165260,164712,0,Refseq
138,Rv0138,165826,165323,1,Refseq
139,Rv0139,166849,165827,1,Refseq
140,Rv0140,167290,166910,1,Refseq
141,Rv0141c,167681,167271,0,Refseq
142,Rv0142,168637,167711,1,Refseq
143,Rv0143c,170182,168704,0,Refseq
144,Rv0144,171126,170284,1,Refseq
145,Rv0145,172168,171215,1,Refseq
146,Rv0146,173143,172211,1,Refseq
147,Rv0147,174758,173238,1,Refseq
148,Rv0148,175693,174833,1,Refseq
149,Rv0149,176668,175700,1,Refseq
150,Rv0150c,176952,176665,0,Refseq
151,Rv0151c,179309,177543,0,Refseq
152,Rv0152c,180896,179319,0,Refseq
153,Rv0153c,181985,181155,0,Refseq
154,Rv0154c,183198,181987,0,Refseq
155,Rv0155,184722,183622,1,Refseq
156,Rv0156,185055,184723,1,Refseq
157,Rv0157,186479,185052,1,Refseq
158,Rv0158,187429,186785,1,Refseq
159,Rv0159c,188839,187433,0,Refseq
160,Rv0160c,190439,188931,0,Refseq
161,Rv0161,191956,190607,1,Refseq
162,Rv0162c,193135,191984,0,Refseq
163,Rv0163,193572,193117,1,Refseq
164,Rv0164,194111,193626,1,Refseq
165,Rv0165c,194938,194144,0,Refseq
166,Rv0166,196657,194993,1,Refseq
167,Rv0167,197658,196861,1,Refseq
168,Rv0168,198529,197660,1,Refseq
169,Rv0169,199898,198534,1,Refseq
170,Rv0170,200935,199895,1,Refseq
171,Rv0171,202479,200932,1,Refseq
172,Rv0172,204068,202476,1,Refseq
173,Rv0173,205237,204065,1,Refseq
174,Rv0174,206778,205231,1,Refseq
175,Rv0175,207455,206814,1,Refseq
176,Rv0176,208420,207452,1,Refseq
177,Rv0177,208971,208417,1,Refseq
178,Rv0178,209672,208938,1,Refseq
179,Rv0179c,210812,209703,0,Refseq
180,Rv0180c,212250,210892,0,Refseq
181,Rv0181c,213011,212277,0,Refseq
182,Rv0182c,214140,213028,0,Refseq
183,Rv0183,214927,214088,1,Refseq
184,Rv0184,215718,214969,1,Refseq
185,Rv0185,216224,215715,1,Refseq
186,Rv0186,218344,216269,1,Refseq
187,Rv0187,219367,218705,1,Refseq
188,Rv0188,219917,219486,1,Refseq
189,Rv0189c,221723,219996,0,Refseq
190,Rv0190,222161,221871,1,Refseq
191,Rv0191,223530,222289,1,Refseq
192,Rv0192,224664,223564,1,Refseq
193,Rv0192A,223909,223607,1,Refseq
194,Rv0193c,226571,224724,0,Refseq
195,Rv0194,230462,226878,1,Refseq
196,Rv0195,231534,230899,1,Refseq
197,Rv0196,232231,231647,1,Refseq
198,Rv0197,234519,232231,1,Refseq
199,Rv0198c,236507,234516,0,Refseq
200,Rv0199,237209,236550,1,Refseq
201,Rv0200,237895,237206,1,Refseq
202,Rv0201c,238395,237892,0,Refseq
203,Rv0202c,241292,238392,0,Refseq
204,Rv0203,241924,241514,1,Refseq
205,Rv0204c,243214,241976,0,Refseq
206,Rv0205,244487,243384,1,Refseq
207,Rv0206c,247318,244484,0,Refseq
208,Rv0207c,248112,247384,0,Refseq
209,Rv0208c,248906,248115,0,Refseq
210,Rv0209,250123,249038,1,Refseq
211,Rv0210,251598,250120,1,Refseq
212,Rv0211,253602,251782,1,Refseq
213,Rv0212c,254640,253669,0,Refseq
214,Rv0213c,255950,254637,0,Refseq
215,Rv0214,257677,256064,1,Refseq
216,Rv0215c,258856,257783,0,Refseq
217,Rv0216,259926,258913,1,Refseq
218,Rv0217c,260831,259923,0,Refseq
219,Rv0218,262252,260924,1,Refseq
220,Rv0219,262802,262254,1,Refseq
221,Rv0220,264023,262812,1,Refseq
222,Rv0221,265476,264067,1,Refseq
223,Rv0222,266295,265507,1,Refseq
224,Rv0223c,267764,266301,0,Refseq
225,Rv0224c,268627,267863,0,Refseq
226,Rv0225,269817,268663,1,Refseq
227,Rv0226c,271564,269834,0,Refseq
228,Rv0227c,272839,271574,0,Refseq
229,Rv0228,274278,273055,1,Refseq
230,Rv0229c,274986,274306,0,Refseq
231,Rv0230c,275963,274983,0,Refseq
232,Rv0231,277764,276058,1,Refseq
233,Rv0232,278588,277899,1,Refseq
234,Rv0233,279529,278585,1,Refseq
235,Rv0234c,281140,279605,0,Refseq
236,Rv0235c,282614,281166,0,Refseq
237,Rv0236A,287071,286898,0,Refseq
238,Rv0236c,286851,282649,0,Refseq
239,Rv0237,288352,287186,1,Refseq
240,Rv0238,289042,288428,1,Refseq
241,Rv0239,289337,289104,1,Refseq
242,Rv0240,289782,289345,1,Refseq
243,Rv0241c,290654,289812,0,Refseq
244,Rv0242c,292029,290665,0,Refseq
245,Rv0243,293493,292171,1,Refseq
246,Rv0244c,295633,293798,0,Refseq
247,Rv0245,296493,296005,1,Refseq
248,Rv0246,298119,296809,1,Refseq
249,Rv0247c,298862,298116,0,Refseq
250,Rv0248c,300803,298863,0,Refseq
251,Rv0249c,301655,300834,0,Refseq
252,Rv0250c,302028,301735,0,Refseq
253,Rv0251c,302652,302173,0,Refseq
254,Rv0252,305427,302866,1,Refseq
255,Rv0253,305809,305453,1,Refseq
256,Rv0254c,306349,305825,0,Refseq
257,Rv0255c,307858,306374,0,Refseq
258,Rv0256c,309547,307877,0,Refseq
259,Rv0257,310073,309699,1,Refseq
260,Rv0258c,310749,310294,0,Refseq
261,Rv0259c,311517,310774,0,Refseq
262,Rv0260c,312659,311514,0,Refseq
263,Rv0261c,314168,312759,0,Refseq
264,Rv0262c,314854,314309,0,Refseq
265,Rv0263c,315766,314864,0,Refseq
266,Rv0264c,316415,315783,0,Refseq
267,Rv0265c,317503,316511,0,Refseq
268,Rv0266c,321154,317525,0,Refseq
269,Rv0267,322722,321331,1,Refseq
270,Rv0268c,323273,322764,0,Refseq
271,Rv0269c,324531,323338,0,Refseq
272,Rv0270,326249,324567,1,Refseq
273,Rv0271c,328461,326266,0,Refseq
274,Rv0272c,329708,328575,0,Refseq
275,Rv0273c,330325,329705,0,Refseq
276,Rv0274,331003,330422,1,Refseq
277,Rv0275c,331658,330933,0,Refseq
278,Rv0276,332668,331748,1,Refseq
279,Rv0277c,333136,332708,0,Refseq
280,Rv0278c,336310,333437,0,Refseq
281,Rv0279c,339073,336560,0,Refseq
282,Rv0280,340974,339364,1,Refseq
283,Rv0281,341906,340998,1,Refseq
284,Rv0282,344025,342130,1,Refseq
285,Rv0283,345638,344022,1,Refseq
286,Rv0284,349627,345635,1,Refseq
287,Rv0285,349932,349624,1,Refseq
288,Rv0286,351476,349935,1,Refseq
289,Rv0287,351818,351525,1,Refseq
290,Rv0288,352138,351848,1,Refseq
291,Rv0289,353036,352149,1,Refseq
292,Rv0290,354501,353083,1,Refseq
293,Rv0291,355883,354498,1,Refseq
294,Rv0292,356875,355880,1,Refseq
295,Rv0293c,358064,356862,0,Refseq
296,Rv0294,358956,358171,1,Refseq
297,Rv0295c,359748,358945,0,Refseq
298,Rv0296c,361155,359758,0,Refseq
299,Rv0297,363109,361334,1,Refseq
300,Rv0298,363479,363252,1,Refseq
301,Rv0299,363778,363476,1,Refseq
302,Rv0300,364047,363826,1,Refseq
303,Rv0301,364469,364044,1,Refseq
304,Rv0302,365237,364605,1,Refseq
305,Rv0303,366142,365234,1,Refseq
306,Rv0304c,372764,366150,0,Refseq
307,Rv0305c,375711,372820,0,Refseq
308,Rv0306,376585,375914,1,Refseq
309,Rv0307c,377055,376573,0,Refseq
310,Rv0308,377829,377113,1,Refseq
311,Rv0309,378587,377931,1,Refseq
312,Rv0310c,379148,378657,0,Refseq
313,Rv0311,380401,379172,1,Refseq
314,Rv0312,382418,380556,1,Refseq
315,Rv0313,382876,382490,1,Refseq
316,Rv0314c,383541,382879,0,Refseq
317,Rv0315,384486,383602,1,Refseq
318,Rv0316,385149,384535,1,Refseq
319,Rv0317c,385943,385173,0,Refseq
320,Rv0318c,387099,386305,0,Refseq
321,Rv0319,387816,387148,1,Refseq
322,Rv0320,388550,387888,1,Refseq
323,Rv0321,389154,388582,1,Refseq
324,Rv0322,390591,389260,1,Refseq
325,Rv0323c,391251,390580,0,Refseq
326,Rv0324,392032,391352,1,Refseq
327,Rv0325,392263,392039,1,Refseq
328,Rv0326,392728,392273,1,Refseq
329,Rv0327c,394045,392696,0,Refseq
330,Rv0328,394713,394111,1,Refseq
331,Rv0329c,395320,394694,0,Refseq
332,Rv0330c,396087,395347,0,Refseq
333,Rv0331,397367,396201,1,Refseq
334,Rv0332,398227,397442,1,Refseq
335,Rv0333,398628,398254,1,Refseq
336,Rv0334,399524,398658,1,Refseq
337,Rv0335c,400050,399535,0,Refseq
338,Rv0336,401703,400192,1,Refseq
339,Rv0337c,403162,401873,0,Refseq
340,Rv0338c,405841,403193,0,Refseq
341,Rv0339c,408448,405950,0,Refseq
342,Rv0340,409173,408634,1,Refseq
343,Rv0341,410801,409362,1,Refseq
344,Rv0342,412760,410838,1,Refseq
345,Rv0343,414238,412757,1,Refseq
346,Rv0344c,414941,414381,0,Refseq
347,Rv0345,415460,415050,1,Refseq
348,Rv0346c,416965,415502,0,Refseq
349,Rv0347,418290,417304,1,Refseq
350,Rv0348,418946,418293,1,Refseq
351,Rv0349,419608,418949,1,Refseq
352,Rv0350,421712,419835,1,Refseq
353,Rv0351,422416,421709,1,Refseq
354,Rv0352,423639,422452,1,Refseq
355,Rv0353,424019,423639,1,Refseq
356,Rv0354c,424694,424269,0,Refseq
357,Rv0355c,434679,424777,0,Refseq
358,Rv0356c,435474,434830,0,Refseq
359,Rv0357c,436769,435471,0,Refseq
360,Rv0358,437507,436860,1,Refseq
361,Rv0359,438297,437518,1,Refseq
362,Rv0360c,438739,438302,0,Refseq
363,Rv0361,439649,438822,1,Refseq
364,Rv0362,441253,439871,1,Refseq
365,Rv0363c,442299,441265,0,Refseq
366,Rv0364,443078,442395,1,Refseq
367,Rv0365c,444197,443067,0,Refseq
368,Rv0366c,444815,444222,0,Refseq
369,Rv0367c,445233,444844,0,Refseq
370,Rv0368c,446525,445314,0,Refseq
371,Rv0369c,447046,446531,0,Refseq
372,Rv0370c,448043,447147,0,Refseq
373,Rv0371c,448633,448040,0,Refseq
374,Rv0372c,449385,448630,0,Refseq
375,Rv0373c,451803,449404,0,Refseq
376,Rv0374c,452279,451800,0,Refseq
377,Rv0375c,453154,452294,0,Refseq
378,Rv0376c,454372,453230,0,Refseq
379,Rv0377,455386,454421,1,Refseq
380,Rv0378,455858,455637,1,Refseq
381,Rv0379,456192,455977,1,Refseq
382,Rv0380c,456819,456268,0,Refseq
383,Rv0381c,457823,456915,0,Refseq
384,Rv0382c,458380,457841,0,Refseq
385,Rv0383c,459315,458461,0,Refseq
386,Rv0384c,462002,459456,0,Refseq
387,Rv0385,463307,462135,1,Refseq
388,Rv0386,466668,463411,1,Refseq
389,Rv0387c,467406,466672,0,Refseq
390,Rv0388c,468001,467459,0,Refseq
391,Rv0389,469594,468335,1,Refseq
392,Rv0390,470013,469591,1,Refseq
393,Rv0391,471230,470010,1,Refseq
394,Rv0392c,472639,471227,0,Refseq
395,Rv0393,474106,472781,1,Refseq
396,Rv0394c,474841,474122,0,Refseq
397,Rv0395,475344,474940,1,Refseq
398,Rv0396,475742,475350,1,Refseq
399,Rv0397,476184,475816,1,Refseq
400,Rv0398c,477320,476679,0,Refseq
401,Rv0399c,478556,477327,0,Refseq
402,Rv0400c,479753,478566,0,Refseq
403,Rv0401,480160,479789,1,Refseq
404,Rv0402c,483231,480355,0,Refseq
405,Rv0403c,483656,483228,0,Refseq
406,Rv0404,485734,483977,1,Refseq
407,Rv0405,489939,485731,1,Refseq
408,Rv0406c,490705,489887,0,Refseq
409,Rv0407,491793,490783,1,Refseq
410,Rv0408,493858,491786,1,Refseq
411,Rv0409,495008,493851,1,Refseq
412,Rv0410c,497314,495062,0,Refseq
413,Rv0411c,498300,497314,0,Refseq
414,Rv0412c,499619,498300,0,Refseq
415,Rv0413,500366,499713,1,Refseq
416,Rv0414c,501018,500350,0,Refseq
417,Rv0415,502170,501148,1,Refseq
418,Rv0416,502373,502167,1,Refseq
419,Rv0417,503124,502366,1,Refseq
420,Rv0418,504998,503496,1,Refseq
421,Rv0419,506582,505086,1,Refseq
422,Rv0420c,506971,506561,0,Refseq
423,Rv0421c,507761,507132,0,Refseq
424,Rv0422c,508555,507758,0,Refseq
425,Rv0423c,510225,508582,0,Refseq
426,Rv0424c,510652,510377,0,Refseq
427,Rv0425c,515321,510702,0,Refseq
428,Rv0426c,515816,515373,0,Refseq
429,Rv0427c,516892,516017,0,Refseq
430,Rv0428c,517803,516895,0,Refseq
431,Rv0429c,518396,517803,0,Refseq
432,Rv0430,519041,518733,1,Refseq
433,Rv0431,519567,519073,1,Refseq
434,Rv0432,520322,519600,1,Refseq
435,Rv0433,521454,520324,1,Refseq
436,Rv0434,522167,521514,1,Refseq
437,Rv0435c,524533,522347,0,Refseq
438,Rv0436c,525390,524530,0,Refseq
439,Rv0437c,526082,525387,0,Refseq
440,Rv0438c,527360,526143,0,Refseq
441,Rv0439c,528314,527379,0,Refseq
442,Rv0440,530230,528608,1,Refseq
443,Rv0441c,530724,530296,0,Refseq
444,Rv0442c,532214,530751,0,Refseq
445,Rv0443,532911,532396,1,Refseq
446,Rv0444c,533789,533091,0,Refseq
447,Rv0445c,534396,533833,0,Refseq
448,Rv0446c,535215,534445,0,Refseq
449,Rv0447c,536507,535224,0,Refseq
450,Rv0448c,537169,536504,0,Refseq
451,Rv0449c,538548,537229,0,Refseq
452,Rv0450c,541491,538588,0,Refseq
453,Rv0451c,541910,541488,0,Refseq
454,Rv0452,542852,542142,1,Refseq
455,Rv0453,544730,543174,1,Refseq
456,Rv0454,545185,544835,1,Refseq
457,Rv0455c,545821,545375,0,Refseq
458,Rv0456A,547357,547076,0,Refseq
459,Rv0456c,546803,545889,0,Refseq
460,Rv0457c,549607,547586,0,Refseq
461,Rv0458,551198,549675,1,Refseq
462,Rv0459,551689,551198,1,Refseq
463,Rv0460,551988,551749,1,Refseq
464,Rv0461,552550,552026,1,Refseq
465,Rv0462,554008,552614,1,Refseq
466,Rv0463,554309,554016,1,Refseq
467,Rv0464c,554885,554313,0,Refseq
468,Rv0465c,556306,554882,0,Refseq
469,Rv0466,557252,556458,1,Refseq
470,Rv0467,558813,557527,1,Refseq
471,Rv0468,559755,558895,1,Refseq
472,Rv0469,560748,559888,1,Refseq
473,Rv0470A,562294,561854,0,Refseq
474,Rv0470c,561711,560848,0,Refseq
475,Rv0471c,562713,562225,0,Refseq
476,Rv0472c,563427,562723,0,Refseq
477,Rv0473,564934,563564,1,Refseq
478,Rv0474,565443,565021,1,Refseq
479,Rv0475,566396,565797,1,Refseq
480,Rv0476,566771,566508,1,Refseq
481,Rv0477,567222,566776,1,Refseq
482,Rv0478,567896,567222,1,Refseq
483,Rv0479c,568967,567921,0,Refseq
484,Rv0480c,569806,568964,0,Refseq
485,Rv0481c,570512,569988,0,Refseq
486,Rv0482,571648,570539,1,Refseq
487,Rv0483,573065,571710,1,Refseq
488,Rv0484c,573801,573046,0,Refseq
489,Rv0485,575300,573984,1,Refseq
490,Rv0486,576790,575348,1,Refseq
491,Rv0487,577338,576787,1,Refseq
492,Rv0488,578269,577664,1,Refseq
493,Rv0489,579175,578426,1,Refseq
494,Rv0490,580581,579349,1,Refseq
495,Rv0491,581492,580809,1,Refseq
496,Rv0492A,583704,583375,0,Refseq
497,Rv0492c,583378,581489,0,Refseq
498,Rv0493c,584690,583701,0,Refseq
499,Rv0494,585423,584695,1,Refseq
500,Rv0495c,586314,585424,0,Refseq
501,Rv0496,587380,586394,1,Refseq
502,Rv0497,588309,587377,1,Refseq
503,Rv0498,589167,588325,1,Refseq
504,Rv0499,590058,589183,1,Refseq
505,Rv0500,590970,590083,1,Refseq
506,Rv0500A,591347,591111,1,Refseq
507,Rv0500B,591576,591475,1,Refseq
508,Rv0501,592784,591654,1,Refseq
509,Rv0502,593867,592791,1,Refseq
510,Rv0503c,594779,593871,0,Refseq
511,Rv0504c,595302,594802,0,Refseq
512,Rv0505c,596585,595464,0,Refseq
513,Rv0506,597202,596759,1,Refseq
514,Rv0507,600105,597199,1,Refseq
515,Rv0508,600391,600098,1,Refseq
516,Rv0509,601847,600441,1,Refseq
517,Rv0510,602786,601857,1,Refseq
518,Rv0511,604516,602819,1,Refseq
519,Rv0512,605591,604602,1,Refseq
520,Rv0513,606152,605604,1,Refseq
521,Rv0514,606448,606149,1,Refseq
522,Rv0515,608062,606551,1,Refseq
523,Rv0516c,608535,608059,0,Refseq
524,Rv0517,610056,608746,1,Refseq
525,Rv0518,610883,610188,1,Refseq
526,Rv0519c,612074,611172,0,Refseq
527,Rv0520,612605,612255,1,Refseq
528,Rv0521,612903,612598,1,Refseq
529,Rv0522,614342,613038,1,Refseq
530,Rv0523c,614721,614326,0,Refseq
531,Rv0524,616223,614835,1,Refseq
532,Rv0525,616831,616223,1,Refseq
533,Rv0526,617496,616846,1,Refseq
534,Rv0527,618272,617493,1,Refseq
535,Rv0528,619894,618305,1,Refseq
536,Rv0529,620865,619891,1,Refseq
537,Rv0530,622124,620907,1,Refseq
538,Rv0531,622646,622329,1,Refseq
539,Rv0532,624577,622793,1,Refseq
540,Rv0533c,625480,624473,0,Refseq
541,Rv0534c,626440,625562,0,Refseq
542,Rv0535,627251,626457,1,Refseq
543,Rv0536,628288,627248,1,Refseq
544,Rv0537c,629731,628298,0,Refseq
545,Rv0538,631686,630040,1,Refseq
546,Rv0539,632375,631743,1,Refseq
547,Rv0540,633034,632372,1,Refseq
548,Rv0541c,634404,633055,0,Refseq
549,Rv0542c,635504,634416,0,Refseq
550,Rv0543c,635875,635573,0,Refseq
551,Rv0544c,636213,635935,0,Refseq
552,Rv0545c,637463,636210,0,Refseq
553,Rv0546c,637969,637583,0,Refseq
554,Rv0547c,638916,638032,0,Refseq
555,Rv0548c,639956,639012,0,Refseq
556,Rv0549c,640641,640228,0,Refseq
557,Rv0550c,640904,640638,0,Refseq
558,Rv0551c,642811,641096,0,Refseq
559,Rv0552,644493,642889,1,Refseq
560,Rv0553,645470,644490,1,Refseq
561,Rv0554,646255,645467,1,Refseq
562,Rv0555,647962,646298,1,Refseq
563,Rv0556,648474,647959,1,Refseq
564,Rv0557,649672,648536,1,Refseq
565,Rv0558,650393,649689,1,Refseq
566,Rv0559c,650745,650407,0,Refseq
567,Rv0560c,651504,650779,0,Refseq
568,Rv0561c,652755,651529,0,Refseq
569,Rv0562,653778,652771,1,Refseq
570,Rv0563,654739,653879,1,Refseq
571,Rv0564c,655949,654924,0,Refseq
572,Rv0565c,657470,656010,0,Refseq
573,Rv0566c,658039,657548,0,Refseq
574,Rv0567,659340,658321,1,Refseq
575,Rv0568,660868,659450,1,Refseq
576,Rv0569,661269,661003,1,Refseq
577,Rv0570,663373,661295,1,Refseq
578,Rv0571c,664818,663487,0,Refseq
579,Rv0572c,665383,665042,0,Refseq
580,Rv0573c,667242,665851,0,Refseq
581,Rv0574c,668394,667252,0,Refseq
582,Rv0575c,669745,668579,0,Refseq
583,Rv0576,671152,669848,1,Refseq
584,Rv0577,671951,671166,1,Refseq
585,Rv0578c,675916,671996,0,Refseq
586,Rv0579,676996,676238,1,Refseq
587,Rv0580c,677616,677125,0,Refseq
588,Rv0581,677925,677710,1,Refseq
589,Rv0582,678329,677922,1,Refseq
590,Rv0583c,679075,678389,0,Refseq
591,Rv0584,681862,679229,1,Refseq
592,Rv0585c,684272,681885,0,Refseq
593,Rv0586,685132,684410,1,Refseq
594,Rv0587,685926,685129,1,Refseq
595,Rv0588,686815,685928,1,Refseq
596,Rv0589,688035,686821,1,Refseq
597,Rv0590,688859,688032,1,Refseq
598,Rv0590A,689062,688808,1,Refseq
599,Rv0591,690504,689059,1,Refseq
600,Rv0592,692027,690501,1,Refseq
601,Rv0593,693232,692024,1,Refseq
602,Rv0594,694787,693237,1,Refseq
603,Rv0595c,695231,694839,0,Refseq
604,Rv0596c,695485,695228,0,Refseq
605,Rv0597c,696903,695668,0,Refseq
606,Rv0598c,697567,697154,0,Refseq
607,Rv0599c,697800,697564,0,Refseq
608,Rv0600c,698410,697904,0,Refseq
609,Rv0601c,698994,698524,0,Refseq
610,Rv0602c,699799,699038,0,Refseq
611,Rv0603,700167,699856,1,Refseq
612,Rv0604,701189,700239,1,Refseq
613,Rv0605,702014,701406,1,Refseq
614,Rv0606,702759,702016,1,Refseq
615,Rv0607,703199,702813,1,Refseq
616,Rv0608,703489,703244,1,Refseq
617,Rv0609,703887,703486,1,Refseq
618,Rv0609A,704057,703830,1,Refseq
619,Rv0610c,705909,704752,0,Refseq
620,Rv0611c,706344,705961,0,Refseq
621,Rv0612,706929,706324,1,Refseq
622,Rv0613c,709515,706948,0,Refseq
623,Rv0614,710348,709356,1,Refseq
624,Rv0615,710587,710345,1,Refseq
625,Rv0616c,710850,710584,0,Refseq
626,Rv0617,711407,711006,1,Refseq
627,Rv0618,712231,711536,1,Refseq
628,Rv0619,712719,712174,1,Refseq
629,Rv0620,713807,712716,1,Refseq
630,Rv0621,715266,714202,1,Refseq
631,Rv0622,716317,715370,1,Refseq
632,Rv0623,716664,716410,1,Refseq
633,Rv0624,717059,716664,1,Refseq
634,Rv0625c,717893,717153,0,Refseq
635,Rv0626,718285,718025,1,Refseq
636,Rv0627,718689,718282,1,Refseq
637,Rv0628c,719912,718761,0,Refseq
638,Rv0629c,721732,720005,0,Refseq
639,Rv0630c,725013,721729,0,Refseq
640,Rv0631c,728306,725013,0,Refseq
641,Rv0632c,729278,728583,0,Refseq
642,Rv0633c,730166,729327,0,Refseq
643,Rv0634A,731364,731113,1,Refseq
644,Rv0634B,731879,731712,1,Refseq
645,Rv0634c,731033,730320,0,Refseq
646,Rv0635,732406,731930,1,Refseq
647,Rv0636,732821,732393,1,Refseq
648,Rv0637,733325,732825,1,Refseq
649,Rv0638,734222,733737,1,Refseq
650,Rv0639,734970,734254,1,Refseq
651,Rv0640,735450,735022,1,Refseq
